filename,folder,source_type,risk_category,wiki_concepts,tags,confidence,reason
Anthropics_Responsible_Scaling_Policy_dc72fbff.md,RSP,policy,structural,Responsible Scaling Policies,RSP|responsible-scaling|Anthropic,high,concepts=Responsible Scaling Policies; tags=3
Anthropicâs_Interpretability_Research_7ff6253f.md,AI Safety,blog_post,misalignment,,Anthropic|interpretability,medium,tags=2
Anti-Scheming_9ff2d5f5.md,Evaluation,blog_post,misalignment,Alignment Faking & Scheming|AI Evaluations & Benchmarks,scheming|OpenAI,high,"concepts=Alignment Faking & Scheming,AI Evaluations & Benchmarks; tags=2"
Apollo_Research_057bf1be.md,Evaluation,blog_post,misalignment,Scalable Oversight|Alignment Faking & Scheming|Existential Risk & Superintelligence|AI Evaluations & Benchmarks,scheming|evaluations|governance|AGI,high,"concepts=Scalable Oversight,Alignment Faking & Scheming,Existential Risk & Superintelligence,AI Evaluations & Benchmarks; tags=4"
Approximating_KL_Divergence_e00e4e24.md,AI Safety,blog_post,misalignment,,,low,default rules
Article_56_Codes_of_Practice_cd9ad85d.md,AI Safety,blog_post,misalignment,,regulation,low,tags=1
Artificial_Intelligence_Values_and_Alignment_812bd0cd.md,AI Safety,blog_post,misalignment,,DeepMind|Google,medium,tags=2
Assurance_contract_-_Wikipedia_05c9efe6.md,AI Safety,blog_post,misalignment,,,low,default rules
Asynchronous_Methods_for_Deep_Reinforcement_Learning_172f3efa.md,AI Safety,blog_post,misalignment,,,low,default rules
Atoms_for_Peace_-_Wikipedia_5e142ed9.md,AI Safety,blog_post,misalignment,,,low,default rules
Auditing_language_models_for_hidden_objectives_7147645e.md,AI Safety,blog_post,misalignment,,Anthropic|interpretability,medium,tags=2
Aviary_training_language_agents_on_challenging_scientific_tasks_FutureHouse_a9156d94.md,AI Safety,blog_post,misalignment,,open-source,low,tags=1
BLEU_-_Wikipedia_1eb08290.md,Evaluation,blog_post,misalignment,AI Evaluations & Benchmarks,evaluations,medium,concepts=AI Evaluations & Benchmarks; tags=1
BadLlama_3_d33b0c77.md,AI Safety,educational,misalignment,,,low,default rules
Baruch_Plan_-_Wikipedia_20604dc4.md,AI Safety,blog_post,misalignment,,,low,default rules
Bayes_factor_-_Wikipedia_2aa0afd6.md,AI Safety,blog_post,misalignment,,,low,default rules
Bill_Text_b3f665b3.md,AI Safety,blog_post,misalignment,,transparency,low,tags=1
Biological_anchors_is_about_bounding_not_pinpointing_AI_timelines_343fcd20.md,AI Safety,blog_post,misalignment,Existential Risk & Superintelligence,,medium,concepts=Existential Risk & Superintelligence
Bria_Persaud_-_Publications_0d1f44dd.md,Evaluation,blog_post,misalignment,AI Evaluations & Benchmarks,,medium,concepts=AI Evaluations & Benchmarks
Buck_3aaf690a.md,AI Safety,blog_post,misalignment,,,low,default rules
CAR_T_cell_-_Wikipedia_17b955b4.md,AI Safety,blog_post,misalignment,,,low,default rules
CBPAI_522ed094.md,AI Safety,blog_post,misalignment,Existential Risk & Superintelligence,governance|superintelligence|catastrophic-risk,high,concepts=Existential Risk & Superintelligence; tags=3
CBRN_defense_-_Wikipedia_7dc02fd5.md,AI Safety,blog_post,misuse,,CBRN,low,tags=1
CERN_for_AI_An_overview_ad031a5f.md,AI Safety,blog_post,misalignment,,,low,default rules
CLARITY_-_Wikipedia_23c62aeb.md,AI Safety,blog_post,misalignment,,,low,default rules
CRISPRCas_History_and_Perspectives_-_Russian_Journal_of_Developmental_Biology_35497485.md,RSP,blog_post,misalignment,Responsible Scaling Policies,RSP,medium,concepts=Responsible Scaling Policies; tags=1
CRISPR_-_Wikipedia_6fa4f6de.md,AI Safety,blog_post,misalignment,,,low,default rules
CS_188_Fall_2024_968558fc.md,AI Safety,blog_post,misalignment,,,low,default rules
CYBERSECEVAL_3_Advancing_the_Evaluation_of_Cybersecurity_Risks_and_Capabilities_in_Large_Language_Mo_daa15df8.md,Evaluation,benchmark,misuse,AI Evaluations & Benchmarks,evaluations|benchmarks|cyber-offense,high,concepts=AI Evaluations & Benchmarks; tags=3
Can_we_scale_human_feedback_for_complex_AI_tasks_An_intro_to_scalable_oversight._11db026c.md,AI Risk Mitigation,educational,misalignment,RLHF & Its Limitations|Scalable Oversight,RLHF|scalable-oversight,high,"concepts=RLHF & Its Limitations,Scalable Oversight; tags=2"
Can_we_scale_human_feedback_for_complex_AI_tasks_An_intro_to_scalable_oversight._814aa54b.md,AI Risk Mitigation,educational,misalignment,RLHF & Its Limitations|Scalable Oversight,RLHF|scalable-oversight,high,"concepts=RLHF & Its Limitations,Scalable Oversight; tags=2"
Catastrophic_Cyber_Capabilities_Benchmark_3CB_b8978dcf.md,Evaluation,benchmark,misuse,AI Evaluations & Benchmarks,evaluations|benchmarks|cyber-offense|catastrophic-risk|autonomous-systems,high,concepts=AI Evaluations & Benchmarks; tags=5
Challenges_and_Prizes_ffebac34.md,Evaluation,blog_post,misalignment,AI Evaluations & Benchmarks,benchmarks|interpretability,high,concepts=AI Evaluations & Benchmarks; tags=2
Challenges_in_evaluating_AI_systems_a00c9d7e.md,Evaluation,benchmark,misalignment,AI Evaluations & Benchmarks,Anthropic,medium,concepts=AI Evaluations & Benchmarks; tags=1
Charles_Teague_-_Publications_ab391267.md,Evaluation,blog_post,misalignment,AI Evaluations & Benchmarks,,medium,concepts=AI Evaluations & Benchmarks
Claude_Doesnt_Want_to_Die_b85a5017.md,AI Safety,blog_post,misalignment,,Anthropic,low,tags=1
Claudes_Constitution_5f2c1d85.md,AI Safety,blog_post,misalignment,,Anthropic,low,tags=1
Claudes_Constitution_b1c32e58.md,AI Safety,blog_post,misalignment,,Anthropic,low,tags=1
Code_World_Model_Preparedness_Report_d4af6e7f.md,AI Safety,blog_post,misalignment,,,low,default rules
Collective_Constitutional_AI_Aligning_a_Language_Model_with_Public_Input_3c9b034d.md,Model-level Mitigation,blog_post,misalignment,Constitutional AI (RLAIF),Constitutional-AI|Anthropic,high,concepts=Constitutional AI (RLAIF); tags=2
Combining_weak-to-strong_generalization_with_scalable_oversight_8d050f49.md,Model-level Mitigation,blog_post,misalignment,Scalable Oversight|Weak-to-Strong Generalization,scalable-oversight|W2SG|weak-to-strong,high,"concepts=Scalable Oversight,Weak-to-Strong Generalization; tags=3"
Concorde_-_Wikipedia_12110b87.md,AI Safety,blog_post,misalignment,,,low,default rules
Confidential_computing_-_Wikipedia_8466b72c.md,AI Safety,blog_post,misalignment,,,low,default rules
Constitutional_Classifiers_Defending_against_universal_jailbreaks_fe7661a0.md,AI Safety,blog_post,misuse,,Anthropic|jailbreaking,medium,tags=2
Construct_validity_-_Wikipedia_d940ad0b.md,AI Safety,blog_post,misalignment,,,low,default rules
Contact_Us_Apollo_Research_f43d6548.md,Evaluation,blog_post,misalignment,Scalable Oversight|Alignment Faking & Scheming|Existential Risk & Superintelligence|AI Evaluations & Benchmarks,scheming|evaluations|governance|AGI,high,"concepts=Scalable Oversight,Alignment Faking & Scheming,Existential Risk & Superintelligence,AI Evaluations & Benchmarks; tags=4"
Cookie_Policy_1d4cbca5.md,AI Safety,blog_post,misalignment,,,low,default rules
Cooperative_AI_Contact_92f721d2.md,AI Safety,blog_post,misalignment,,,low,default rules
Core_Views_on_AI_Safety_When_Why_What_and_How_8c7fd668.md,AI Safety,blog_post,misalignment,,Anthropic,low,tags=1
Core_Views_on_AI_Safety_When_Why_What_and_How_cbeac227.md,AI Safety,blog_post,misalignment,,Anthropic,low,tags=1
Cosmos_QA_Machine_Reading_Comprehension_with_Contextual_Commonsense_Reasoning_a5443f4c.md,AI Safety,blog_post,misalignment,,,low,default rules
Could_Artificial_Intelligence_Be_Misused_to_Plan_Biological_Attacks_fd68ea56.md,AI Safety,blog_post,misalignment,,,low,default rules
Countries_that_are_democracies_and_autocracies_a519aa06.md,AI Safety,blog_post,misalignment,,,low,default rules
Crop_Yields_042899e6.md,AI Safety,blog_post,misalignment,,,low,default rules
Cruel_and_unusual_punishment_-_Wikipedia_70a00794.md,AI Safety,blog_post,misalignment,,,low,default rules
Cybench_05abdf0e.md,Evaluation,blog_post,misuse,AI Evaluations & Benchmarks,benchmarks|cyber-offense,high,concepts=AI Evaluations & Benchmarks; tags=2
Dangerous_capability_tests_should_be_harder_603893a0.md,Evaluation,blog_post,misalignment,AI Evaluations & Benchmarks,dangerous-capabilities,medium,concepts=AI Evaluations & Benchmarks; tags=1
Dario_Amodei_Machines_of_Loving_Grace_caf0dd8e.md,AI Safety,blog_post,misalignment,,Anthropic,low,tags=1
Dawid_Maciorowski_-_Publications_1550c25d.md,Evaluation,blog_post,misalignment,AI Evaluations & Benchmarks,,medium,concepts=AI Evaluations & Benchmarks
Deep_Reinforcement_Learning_from_Human_Preferences_6168096f.md,AI Safety,blog_post,misalignment,,,low,default rules
Deep_TAMER_Interactive_Agent_Shaping_in_High-Dimensional_State_Spaces_1a8f076f.md,AI Safety,blog_post,misalignment,,autonomous-systems,low,tags=1
Deep_Utopia_0e4e1bd3.md,AI Safety,blog_post,misalignment,Existential Risk & Superintelligence,superintelligence,medium,concepts=Existential Risk & Superintelligence; tags=1
Defining_Insider_Threats_CISA_9afeb970.md,AI Safety,blog_post,misuse,,cyber-offense,low,tags=1
Details_about_METRs_preliminary_evaluation_of_OpenAI_o1-preview_ba23dd60.md,Evaluation,benchmark,misalignment,AI Evaluations & Benchmarks,evaluations|OpenAI,high,concepts=AI Evaluations & Benchmarks; tags=2
Detecting_and_Countering_Malicious_Uses_of_Claude_f8b326a6.md,AI Safety,blog_post,misuse,,Anthropic|adversarial,medium,tags=2
Diverse_carbon_dioxide_removal_approaches_could_reduce_impacts_on_the_energywaterland_system_-_Natur_48a120c4.md,AI Safety,blog_post,misalignment,,,low,default rules
Down_and_Out_in_the_Magic_Kingdom_-_Wikipedia_6391e26b.md,AI Safety,blog_post,misalignment,Existential Risk & Superintelligence,,medium,concepts=Existential Risk & Superintelligence
Effective_Ventures_cd6d856a.md,AI Risk Mitigation,blog_post,misalignment,RLHF & Its Limitations,,medium,concepts=RLHF & Its Limitations
Elo_rating_system_-_Wikipedia_0240201a.md,AI Safety,blog_post,misalignment,,,low,default rules
Evals_ce1ac4cb.md,Evaluation,benchmark,misalignment,AI Evaluations & Benchmarks,,medium,concepts=AI Evaluations & Benchmarks
Evaluating_frontier_AI_RD_capabilities_of_language_model_agents_against_human_experts_b1af10e6.md,Evaluation,benchmark,misalignment,AI Evaluations & Benchmarks,benchmarks|METR,high,concepts=AI Evaluations & Benchmarks; tags=2
Exclusive_New_Research_Shows_AI_Strategically_Lying_6f6ffce8.md,AI Safety,blog_post,misalignment,,Anthropic,low,tags=1
Expansion_microscopy_-_Wikipedia_42b2892c.md,AI Safety,blog_post,misalignment,,,low,default rules
External_validity_-_Wikipedia_c3e552b8.md,AI Safety,blog_post,misalignment,,,low,default rules
Externality_-_Wikipedia_9530d9ad.md,AI Safety,blog_post,misalignment,,,low,default rules
FMF_Announces_First-Of-Its-Kind_Information-Sharing_Agreement_-_Frontier_Model_Forum_0426045b.md,AI Safety,blog_post,misalignment,,,low,default rules
Five_Eyes_-_Wikipedia_090eb4e2.md,AI Safety,blog_post,misalignment,,,low,default rules
Forecasting_Frontier_Language_Model_Agent_Capabilities_Apollo_Research_21834e33.md,Evaluation,blog_post,misalignment,AI Evaluations & Benchmarks,,medium,concepts=AI Evaluations & Benchmarks
Forecasting_Transformative_AI_Part_1_What_Kind_of_AI_d1735aca.md,AI Safety,blog_post,misalignment,Existential Risk & Superintelligence,,medium,concepts=Existential Risk & Superintelligence
Four_Asian_Tigers_-_Wikipedia_0a522b8a.md,AI Safety,blog_post,misalignment,,,low,default rules
Friedrich_Hayek_-_Wikipedia_25ec0df2.md,AI Safety,blog_post,misalignment,,,low,default rules
Frontier_Models_are_Capable_of_In-Context_Scheming_Apollo_Research_f8ac8583.md,Evaluation,blog_post,misalignment,Alignment Faking & Scheming|AI Evaluations & Benchmarks,scheming|evaluations,high,"concepts=Alignment Faking & Scheming,AI Evaluations & Benchmarks; tags=2"
Future_of_AI_Course_BlueDot_Impact_100477de.md,AI Safety,educational,misalignment,,,low,default rules
Future_of_AI_Course_BlueDot_Impact_a9f3387d.md,AI Safety,educational,misalignment,,,low,default rules
Future_of_AI_Course_BlueDot_Impact_cbe94e84.md,AI Safety,educational,misalignment,,,low,default rules
Gene_drives_gaining_speed_-_Nature_Reviews_Genetics_37b3bbea.md,AI Safety,blog_post,misalignment,,,low,default rules
Getting_Closer_to_AI_Complete_Question_Answering_A_Set_of_Prerequisite_Real_Tasks_d03c202c.md,AI Safety,blog_post,misalignment,,,low,default rules
GiveWell_10b8709a.md,AI Safety,blog_post,misalignment,,,low,default rules
Going_on_a_vacation_takes_longer_than_Going_for_a_walk_A_Study_of_Temporal_Commonsense_Understanding_ab7380ce.md,AI Safety,blog_post,misalignment,,,low,default rules
Goodharts_law_-_Wikipedia_d425846f.md,AI Safety,blog_post,misalignment,,,low,default rules
Google_-_Wikipedia_500fb8cf.md,AI Safety,blog_post,misalignment,,Google,low,tags=1
Google_Security_Keys_Neutralized_Employee_Phishing_34af5dff.md,AI Safety,blog_post,misalignment,,Google,low,tags=1
Google_pauses_AI-generated_images_of_people_after_ethnicity_criticism_e22a3751.md,AI Safety,blog_post,misalignment,,Google,low,tags=1
Googles_AI_Beats_Legendary_Go_Player_c87361a1.md,AI Safety,blog_post,misalignment,,DeepMind,low,tags=1
Grant_Ellison_-_Publications_863807a9.md,Evaluation,blog_post,misalignment,AI Evaluations & Benchmarks,,medium,concepts=AI Evaluations & Benchmarks
Green_Revolution_-_Wikipedia_1d22240b.md,AI Safety,blog_post,misalignment,,,low,default rules
Harry_Mayne_1493ede0.md,Evaluation,blog_post,misalignment,AI Evaluations & Benchmarks,,medium,concepts=AI Evaluations & Benchmarks
Henry_Alexander_Bradley_-_Publications_81f9abaa.md,Evaluation,blog_post,misalignment,AI Evaluations & Benchmarks,,medium,concepts=AI Evaluations & Benchmarks
HiLumi_LHC_CERNs_full-scale_test_stand_ente..._f5bf7d31.md,AI Safety,blog_post,misalignment,,,low,default rules
High-Low_Frequency_Detectors_69e34f7f.md,AI Safety,blog_post,misalignment,,,low,default rules
Highly_accurate_protein_structure_prediction_with_AlphaFold_-_Nature_a06e223c.md,AI Safety,blog_post,misalignment,,,low,default rules
HodgkinHuxley_model_-_Wikipedia_cbacdc23.md,AI Safety,blog_post,misalignment,,,low,default rules
Home_2f5a1bdc.md,AI Safety,blog_post,misalignment,,Meta|interpretability,medium,tags=2
Home_Anthropic_138dc8d9.md,AI Safety,blog_post,misalignment,,Anthropic|interpretability,medium,tags=2
How_AI_Labs_Can_Safeguard_Model_Weights_f80e302b.md,AI Safety,blog_post,misalignment,,,low,default rules
How_OpenAIs_Sam_Altman_Is_Thinking_About_AGI_and_Superintelligence_in_2025_c4d0c5c3.md,AI Safety,blog_post,misalignment,Existential Risk & Superintelligence,superintelligence|AGI|OpenAI,high,concepts=Existential Risk & Superintelligence; tags=3
How_to_make_the_best_of_the_most_important_century_8d776ced.md,AI Safety,blog_post,misalignment,,,low,default rules
I._From_GPT-4_to_AGI_Counting_the_OOMs_-_SITUATIONAL_AWARENESS_93687572.md,AI Safety,blog_post,misalignment,Existential Risk & Superintelligence,AGI,medium,concepts=Existential Risk & Superintelligence; tags=1
IBMs_Watson_gave_unsafe_recommendations_for_treating_cancer_f6b8efde.md,AI Safety,blog_post,misalignment,,,low,default rules
ICDL08-knox_33571213.pdf,Evaluation,research_paper,misalignment,AI Evaluations & Benchmarks,,medium,concepts=AI Evaluations & Benchmarks
II._From_AGI_to_Superintelligence_the_Intelligence_Explosion_-_SITUATIONAL_AWARENESS_1744d725.md,AI Safety,blog_post,misalignment,Existential Risk & Superintelligence,superintelligence|AGI|intelligence-explosion,high,concepts=Existential Risk & Superintelligence; tags=3
IIIb._Lock_Down_the_Labs_Security_for_AGI_-_SITUATIONAL_AWARENESS_f1d77867.md,AI Safety,blog_post,misalignment,Existential Risk & Superintelligence,AGI,medium,concepts=Existential Risk & Superintelligence; tags=1
IIId._The_Free_World_Must_Prevail_-_SITUATIONAL_AWARENESS_ca7b1bb1.md,AI Safety,blog_post,misalignment,Existential Risk & Superintelligence,superintelligence,medium,concepts=Existential Risk & Superintelligence; tags=1
If-Then_Commitments_for_AI_Risk_Reduction_420ae078.md,AI Safety,blog_post,misalignment,,,low,default rules
If_Anyone_Builds_It_Everyone_Dies_87ba691e.md,AI Safety,blog_post,misalignment,Existential Risk & Superintelligence,superintelligence|extinction,high,concepts=Existential Risk & Superintelligence; tags=2
Import_AI_a098b9cd.md,AI Risk Mitigation,blog_post,misalignment,RLHF & Its Limitations,,medium,concepts=RLHF & Its Limitations
In_the_AI_science_boom_beware_your_results_are_only_as_good_as_your_data_aa0d4625.md,AI Safety,blog_post,misalignment,,,low,default rules
Increasing_the_Policy_Readiness_of_Ideas_Tom_Kalil_9daa4574.md,AI Safety,blog_post,misalignment,,,low,default rules
Inhibition_of_IL-11_signalling_extends_mammalian_healthspan_and_lifespan_-_Nature_4dbe3a8d.md,AI Safety,blog_post,misalignment,,,low,default rules
Inside_the_hunt_for_new_physics_at_the_worlds_largest_particle_collider_185a25b3.md,AI Safety,blog_post,misalignment,,,low,default rules
Inspect_bfb7a89d.md,Evaluation,blog_post,misalignment,Agentic Misalignment|AI Evaluations & Benchmarks,evaluations|agentic-AI|open-source,high,"concepts=Agentic Misalignment,AI Evaluations & Benchmarks; tags=3"
Institute_for_Disease_Modeling_-_Wikipedia_ef22656c.md,AI Safety,blog_post,misalignment,,,low,default rules
Intel_-_Wikipedia_d0c6776a.md,AI Safety,blog_post,misalignment,,,low,default rules
International_AI_Safety_Report_a7f7f227.md,AI Safety,blog_post,misalignment,,,low,default rules
Introducing_computer_use_a_new_Claude_3.5_Sonnet_and_Claude_3.5_Haiku_03af6638.md,AI Safety,blog_post,misalignment,,Anthropic,low,tags=1
Introducing_the_Anthropic_Fellows_Program_for_AI_Safety_Research_3a87facf.md,AI Safety,blog_post,misalignment,,Anthropic,low,tags=1
Introducing_the_Frontier_Safety_Framework_4380930c.md,AI Safety,blog_post,misalignment,,DeepMind|Google,medium,tags=2
Introduction_to_Mechanistic_Interpretability_0aa60341.md,AI Safety,blog_post,misalignment,,interpretability|mechanistic-interpretability,medium,tags=2
Is_Democracy_a_Fad_6c2db200.md,AI Safety,blog_post,misalignment,,,low,default rules
