filename,folder,title,url,source_type,risk_category,wiki_concepts,tags,author,published,description
Why_Im_optimistic_about_our_alignment_approach_3063882f.md,01_Risks-and-Failure-Modes/01d_Agentic-Misalignment-and-Control,Why I’m optimistic about our alignment approach,https://aligned.substack.com/p/alignment-optimism,blog_post,misalignment,"RLHF & Its Limitations, Agentic Misalignment, Existential Risk & Superintelligence, AI Evaluations & Benchmarks","RLHF, evaluations, AGI, multi-agent, OpenAI",Jan Leike,2022-12-05,Some arguments in favor and responses to common objections
Deep_Reinforcement_Learning_from_Human_Preferences_6168096f.md,02_Mitigations-and-Methods/02a_RLHF-and-Limitations,Deep Reinforcement Learning from Human Preferences,https://proceedings.neurips.cc/paper/2017/hash/d5e2c0adad503c91f91df240d0cd4e49-Abstract.html,research_paper,misalignment,RLHF & Its Limitations,"RLHF, reward-modeling, preference-learning",Christiano; Paul F; Leike; Jan; Brown; Tom; Martic; Miljan; Legg; Shane; Amodei; Dario,2017-01-01,
Elo_rating_system_-_Wikipedia_0240201a.md,02_Mitigations-and-Methods/02a_RLHF-and-Limitations,Elo rating system - Wikipedia,https://en.wikipedia.org/wiki/Elo_rating_system,blog_post,misalignment,"RLHF & Its Limitations, AI Evaluations & Benchmarks",evaluations,,2002-08-11,
LESSWRONG_318b69cf.md,02_Mitigations-and-Methods/02a_RLHF-and-Limitations,LESSWRONG,https://www.lesswrong.com/posts/4inoCWnKrpHt4gCx9/protecting-large-projects-against-mazedom,blog_post,misalignment,"RLHF & Its Limitations, AI Evaluations & Benchmarks",,Zvi,2020-02-03,
Learning_to_summarize_with_human_feedback_f59a43c5.md,02_Mitigations-and-Methods/02a_RLHF-and-Limitations,Learning to summarize with human feedback,https://proceedings.neurips.cc/paper/2020/hash/1f89885d556929e98d3ef9b86448f951-Abstract.html,blog_post,misalignment,RLHF & Its Limitations,,Stiennon; Nisan; Ouyang; Long; Wu; Jeffrey; Ziegler; Daniel; Lowe; Ryan; Voss; Chelsea; Radford; Alec; Amodei; Dario; Christiano; Paul F,2020-01-01,
Proximal_Policy_Optimization_900da9d4.md,02_Mitigations-and-Methods/02a_RLHF-and-Limitations,Proximal Policy Optimization,https://spinningup.openai.com/en/latest/algorithms/ppo.html,blog_post,misalignment,RLHF & Its Limitations,"PPO, OpenAI",,2018-01-01,
Reward_Hacking_in_Reinforcement_Learning_d6a56447.md,02_Mitigations-and-Methods/02a_RLHF-and-Limitations,Reward Hacking in Reinforcement Learning,https://lilianweng.github.io/posts/2024-11-28-reward-hacking,blog_post,misalignment,RLHF & Its Limitations,reward-hacking,Lilian Weng,2024-11-28,"Reward hacking occurs when a reinforcement learning (RL) agent exploits flaws or ambiguities in the reward function to achieve high rewards, without genuinely learning or completing the intended task. Reward hacking exists because RL environments are often imperfect, and it is fundamentally challeng"
The_world_is_awful._The_world_is_much_better._The_world_can_be_much_better._fafa44ac.md,02_Mitigations-and-Methods/02a_RLHF-and-Limitations,The world is awful. The world is much better. The world can be much better.,https://ourworldindata.org/much-better-awful-can-be-better,blog_post,misalignment,"RLHF & Its Limitations, Existential Risk & Superintelligence",RSP,Max Roser,2022-07-20,It is wrong to think these three statements contradict each other. We need to see that they are all true to see that a better world is possible.
Towards_Understanding_Sycophancy_in_Language_Models_26016be3.md,02_Mitigations-and-Methods/02a_RLHF-and-Limitations,Towards Understanding Sycophancy in Language Models,https://www.anthropic.com/research/towards-understanding-sycophancy-in-language-models,blog_post,misalignment,RLHF & Its Limitations,"sycophancy, RLHF, Anthropic",,2023-12-18,
What_do_coherence_arguments_imply_about_the_behavior_of_advanced_AI_284a99f9.md,02_Mitigations-and-Methods/02a_RLHF-and-Limitations,What do coherence arguments imply about the behavior of advanced AI?,https://aiimpacts.org/what-do-coherence-arguments-imply-about-the-behavior-of-advanced-ai,blog_post,misalignment,RLHF & Its Limitations,,,2021-04-08,"There is probably a pressure to become more coherent, if you have preferences, and thus to become more goal-directed."
macglashan17a_eb343d23.pdf,02_Mitigations-and-Methods/02a_RLHF-and-Limitations,macglashan17a,,research_paper,misalignment,RLHF & Its Limitations,,,,
Claudes_Constitution_5f2c1d85.md,02_Mitigations-and-Methods/02b_Constitutional-AI,Claude’s Constitution,https://www.anthropic.com/news/claudes-constitution,blog_post,misalignment,"RLHF & Its Limitations, Constitutional AI (RLAIF), Scalable Oversight, AI Evaluations & Benchmarks, Responsible Scaling Policies","Constitutional-AI, scalable-oversight, RSP, Anthropic, DeepMind, transparency, adversarial",,2023-12-18,
Synthetic_data_real_harm_190b80b8.md,02_Mitigations-and-Methods/02b_Constitutional-AI,"Synthetic data, real harm",https://www.adalovelaceinstitute.org/blog/synthetic-data-real-harm,blog_post,mistakes,"RLHF & Its Limitations, Constitutional AI (RLAIF)",governance,Dani Shanley,2025-09-18,Why is synthetic data used and what challenges does it raise for AI assurance mechanisms?
Claude_Doesnt_Want_to_Die_b85a5017.md,02_Mitigations-and-Methods/02c_Scalable-Oversight,Claude Doesn’t Want to Die,https://garrisonlovely.substack.com/p/claude-doesnt-want-to-die,blog_post,misalignment,"RLHF & Its Limitations, Scalable Oversight, Existential Risk & Superintelligence, AI Evaluations & Benchmarks","evaluations, benchmarks, existential-risk, Anthropic, OpenAI",Garrison Lovely,2024-03-05,Anthropic’s brand-new model tells me what it really thinks (or what it thinks a language model thinks)
Short_letter_to_my_11-year-old_self_174af071.md,02_Mitigations-and-Methods/02c_Scalable-Oversight,Short letter to my 11-year-old self,https://scottaaronson.blog/?p=6919,blog_post,misalignment,"RLHF & Its Limitations, Scalable Oversight, Existential Risk & Superintelligence","debate, biorisk",,2022-12-24,"Dear Scott, This is you, from 30 years in the future, Christmas Eve 2022. Your Ghost of Christmas Future. To get this out of the way: you eventually become a professor who works on quantum computin…"
Steering_at_the_Frontier_Extending_the_Power_of_Prompting_-_Microsoft_Research_aacb2dd9.md,02_Mitigations-and-Methods/02c_Scalable-Oversight,Steering at the Frontier: Extending the Power of Prompting - Microsoft Research,https://www.microsoft.com/en-us/research/blog/steering-at-the-frontier-extending-the-power-of-prompting,blog_post,misalignment,"RLHF & Its Limitations, Scalable Oversight, AI Evaluations & Benchmarks","evaluations, benchmarks, Google",Brenda Potts,2023-12-12,"We’re seeing exciting capabilities of frontier foundation models, including intriguing powers of abstraction, generalization, and composition across numerous areas of knowledge and expertise. Even seasoned AI researchers have been impressed with the ability to steer the models with straightforward, "
The_U.S._Public_Wants_Regulation_or_Prohibition_of_ExpertLevel_and_Superhuman_AI_-_Future_of_Life_In_c40e1edd.md,02_Mitigations-and-Methods/02c_Scalable-Oversight,The U.S. Public Wants Regulation (or Prohibition) of Expert‑Level and Superhuman AI - Future of Life Institute,https://futureoflife.org/asi-polling,blog_post,structural,"RLHF & Its Limitations, Scalable Oversight, Existential Risk & Superintelligence","regulation, extinction",Future,2025-10-19,"Three‑quarters of U.S. adults want strong regulations on AI development, preferring oversight akin to pharmaceuticals rather than industry ""self‑regulation."
The_most_important_century_blog_post_series_fd178cb0.md,02_Mitigations-and-Methods/02c_Scalable-Oversight,"The ""most important century"" blog post series",https://www.cold-takes.com/most-important-century,blog_post,misalignment,"RLHF & Its Limitations, Scalable Oversight, Existential Risk & Superintelligence","x-risk, AGI",Holden Karnofsky,2021-09-24,"The ""most important century"" series of blog posts argues that the 21st century could be the most important century ever for humanity, via the development of advanced AI systems that could dramatically speed up scientific and technological advancement, getting us more quickly than most people imagine"
Why_Im_Leaving_OpenAI_and_What_Im_Doing_Next_42a87e0f.md,02_Mitigations-and-Methods/02c_Scalable-Oversight,Why I’m Leaving OpenAI and What I’m Doing Next,https://milesbrundage.substack.com/p/why-im-leaving-openai-and-what-im,blog_post,misalignment,"RLHF & Its Limitations, Scalable Oversight, Existential Risk & Superintelligence, AI Evaluations & Benchmarks","red-teaming, model-card, governance, regulation, compute-governance, AGI, OpenAI",Miles Brundage,2024-10-23,"FAQ on my reasons for leaving, my research interests going forward, and ways you can help."
You_Get_About_Five_Words_ec170c80.md,02_Mitigations-and-Methods/02c_Scalable-Oversight,You Get About Five Words,https://www.lesswrong.com/posts/4ZvJab25tDebB8FGE/you-get-about-five-words,blog_post,misalignment,"RLHF & Its Limitations, Scalable Oversight",,Raemon,2019-03-12,
Core_Views_on_AI_Safety_When_Why_What_and_How_8c7fd668.md,02_Mitigations-and-Methods/02f_Interpretability,"Core Views on AI Safety: When, Why, What, and How",https://www.anthropic.com/news/core-views-on-ai-safety,blog_post,mistakes,"RLHF & Its Limitations, Existential Risk & Superintelligence, AI Evaluations & Benchmarks","catastrophic-risk, Anthropic, OpenAI, interpretability, mechanistic-interpretability",,2023-12-18,
Core_Views_on_AI_Safety_When_Why_What_and_How_cbeac227.md,02_Mitigations-and-Methods/02f_Interpretability,"Core Views on AI Safety: When, Why, What, and How",https://www.anthropic.com/index/core-views-on-ai-safety,blog_post,mistakes,"RLHF & Its Limitations, Existential Risk & Superintelligence, AI Evaluations & Benchmarks","catastrophic-risk, Anthropic, OpenAI, interpretability, mechanistic-interpretability",,2023-12-18,
MATS_Research_fb0dee66.md,05_Resources/05a_Educational,MATS Research,https://www.matsprogram.org/,blog_post,misalignment,"RLHF & Its Limitations, AI Evaluations & Benchmarks, Responsible Scaling Policies","deception, RSP, Anthropic, interpretability, mechanistic-interpretability, transparency",,2023-09-15,"The MATS Program is an independent research and educational seminar program that connects talented scholars with top mentors in the fields of AI alignment, governance, and security."
Mapping_the_Mind_of_a_Large_Language_Model_498fcf79.md,02_Mitigations-and-Methods/02f_Interpretability,Mapping the Mind of a Large Language Model,https://www.anthropic.com/research/mapping-mind-language-model,blog_post,misalignment,RLHF & Its Limitations,"Anthropic, OpenAI, interpretability",,2024-05-13,
The_Prototypical_Catastrophic_AI_Action_Is_Getting_Root_b6e771eb.md,02_Mitigations-and-Methods/02f_Interpretability,The Prototypical Catastrophic AI Action Is Getting Root,https://www.lesswrong.com/posts/BAzCGCys4BkzGDCWR/the-prototypical-catastrophic-ai-action-is-getting-root,blog_post,"misuse, mistakes","RLHF & Its Limitations, Scalable Oversight, Existential Risk & Superintelligence, AI Evaluations & Benchmarks","cyber-offense, intelligence-explosion, catastrophic-risk, interpretability",Buck,2022-06-02,
Putting_up_Bumpers_0d0b4e54.md,03_Evaluations/03a_Methodology,Putting up Bumpers,https://alignment.anthropic.com/2025/bumpers,blog_post,misalignment,"RLHF & Its Limitations, Alignment Faking & Scheming, Weak-to-Strong Generalization, Existential Risk & Superintelligence, AI Evaluations & Benchmarks","sandbagging, superalignment, evaluations, red-teaming, dangerous-capabilities, regulation, AGI, autonomous-systems, Anthropic, OpenAI",,2025-04-23,
The_Case_For_More_Ambitious_Language_Model_Evals_a4a84e19.md,03_Evaluations/03a_Methodology,The Case For More Ambitious Language Model Evals,https://www.lesswrong.com/posts/doPbyzPgKdjedohud/the-case-for-more-ambitious-language-model-evals,blog_post,misalignment,"RLHF & Its Limitations, AI Evaluations & Benchmarks",RLHF,Jozdien,2024-01-30,
OpenAI_Model_Spec_49ff3771.md,03_Evaluations/03b_Capability-Benchmarks,OpenAI Model Spec,https://model-spec.openai.com/2025-04-11.html,blog_post,misalignment,"RLHF & Its Limitations, Existential Risk & Superintelligence","OpenAI, transparency",Platform,2025-04-11,The Model Spec specifies desired behavior for the models underlying OpenAI's products (including our APIs).
The_near-term_impact_of_AI_on_the_cyber_threat_ed1654d4.md,03_Evaluations/03c_Cyber-Bio-Benchmarks,The near-term impact of AI on the cyber threat,https://www.ncsc.gov.uk/report/impact-of-ai-on-cyber-threat,blog_post,misuse,"RLHF & Its Limitations, Scalable Oversight, AI Evaluations & Benchmarks",,,2024-01-24,An NCSC assessment focusing on how AI will impact the efficacy of cyber operations and the implications for the cyber threat over the next two years.
FMF_Announces_First-Of-Its-Kind_Information-Sharing_Agreement_-_Frontier_Model_Forum_0426045b.md,04_Governance-and-Policy/04a_RSPs-and-Frontier-Frameworks,FMF Announces First-Of-Its-Kind Information-Sharing Agreement - Frontier Model Forum,https://www.frontiermodelforum.org/updates/fmf-announces-first-of-its-kind-information-sharing-agreement,blog_post,misuse,RLHF & Its Limitations,"cyber-offense, CBRN, Anthropic, OpenAI, adversarial, jailbreaking",Frontier Model Forum,2025-03-28,"The Frontier Model Forum (FMF) is proud to announce that all of its member firms have signed a first-of-its-kind agreement designed to facilitate information-sharing about threats, vulnerabilities, and capability advances unique to frontier AI. Information-sharing has always been central to the FMF’"
Increasing_the_Policy_Readiness_of_Ideas_Tom_Kalil_9daa4574.md,04_Governance-and-Policy/04a_RSPs-and-Frontier-Frameworks,Increasing the “Policy Readiness” of Ideas | Tom Kalil,https://fas.org/publication/increasing-policy-readiness-of-ideas,blog_post,misalignment,"RLHF & Its Limitations, Scalable Oversight, Existential Risk & Superintelligence, AI Evaluations & Benchmarks, Responsible Scaling Policies","RSP, governance, regulation",,2024-07-12,Policymakers are more likely to consider ideas where more thought has been given to the core questions of the policy process.
Jailbreak_tricks_Discords_new_chatbot_into_sharing_napalm_and_meth_instructions_TechCrunch_ec6b1403.md,04_Governance-and-Policy/04a_RSPs-and-Frontier-Frameworks,Jailbreak tricks Discord's new chatbot into sharing napalm and meth instructions | TechCrunch,https://techcrunch.com/2023/04/20/jailbreak-tricks-discords-new-chatbot-into-sharing-napalm-and-meth-instructions,blog_post,misuse,"RLHF & Its Limitations, Existential Risk & Superintelligence, Responsible Scaling Policies","OpenAI, jailbreaking, prompt-injection",Lorenzo Franceschi-Bicchierai,2023-04-20,Two people demonstrated that Discord's new AI chatbot Clyde can be tricked into giving instructions on how to make dangerous substances.
Model_Safety_Bug_Bounty_Program_Claude_Help_Center_52e7c661.md,04_Governance-and-Policy/04a_RSPs-and-Frontier-Frameworks,Model Safety Bug Bounty Program | Claude Help Center,https://support.claude.com/en/articles/12119250-model-safety-bug-bounty-program,blog_post,misuse,RLHF & Its Limitations,jailbreaking,,2026-03-16,
Paul_Christiano_Current_Work_in_AI_Alignment_Effective_Altruism_c4e0b2b8.md,04_Governance-and-Policy/04a_RSPs-and-Frontier-Frameworks,Paul Christiano: Current Work in AI Alignment | Effective Altruism,https://www.effectivealtruism.org/articles/paul-christiano-current-work-in-ai-alignment,blog_post,mistakes,"Existential Risk & Superintelligence, Responsible Scaling Policies, RLHF & Its Limitations","RSP, catastrophic-risk, OpenAI",,2020-04-03,"Paul Christiano, a researcher at OpenAI, discusses the current state of research on aligning AI with human values: what’s happening now, what needs to happen, and how people can help. This talk covers"
Ryan_Greenblatt_S_Shortform_0ee81fb2.md,04_Governance-and-Policy/04a_RSPs-and-Frontier-Frameworks,Ryan Greenblatt's Shortform,https://www.lesswrong.com/posts/FG54euEAesRkSZuJN/ryan_greenblatt-s-shortform?commentId=B6oDGoyphuNuzdDAT,blog_post,misalignment,"RLHF & Its Limitations, Responsible Scaling Policies","ASL, Anthropic",Ryan Greenblatt,2024-02-01,
Squiggle_Maximizer_formerly_Paperclip_maximizer_9bc9007c.md,04_Governance-and-Policy/04a_RSPs-and-Frontier-Frameworks,"Squiggle Maximizer (formerly ""Paperclip maximizer"")",https://www.lesswrong.com/tag/paperclip-maximizer,blog_post,misalignment,"RLHF & Its Limitations, Scalable Oversight, Existential Risk & Superintelligence, Responsible Scaling Policies","inner-alignment, outer-alignment, RSP, AGI, intelligence-explosion",Eliezer Yudkowsky,2024-02-01,
Two_Year_Update_On_My_Personal_AI_Timelines_5e45579a.md,04_Governance-and-Policy/04a_RSPs-and-Frontier-Frameworks,Two Year Update On My Personal AI Timelines,https://www.lesswrong.com/posts/AfH2oPHCApdKicM4m/two-year-update-on-my-personal-ai-timelines,blog_post,misalignment,"RLHF & Its Limitations, Scalable Oversight, Existential Risk & Superintelligence, Responsible Scaling Policies",RSP,Ajeya Cotra,2022-08-02,
What_Are_The_Strongest_Arguments_For_Very_Short_Timelines_1a2f19d2.md,04_Governance-and-Policy/04a_RSPs-and-Frontier-Frameworks,What Are The Strongest Arguments For Very Short Timelines,https://www.lesswrong.com/posts/oC4wv4nTrs2yrP5hz/what-are-the-strongest-arguments-for-very-short-timelines?commentId=Kzam9tz2WsDnBZYAu,blog_post,structural,"RLHF & Its Limitations, Existential Risk & Superintelligence, AI Evaluations & Benchmarks, Responsible Scaling Policies","evaluations, AGI",Kaj Sotala,2024-12-23,
Article_56_Codes_of_Practice_cd9ad85d.md,04_Governance-and-Policy/04c_Other-Governance,Article 56: Codes of Practice,https://artificialintelligenceact.eu/article/56,blog_post,misalignment,"RLHF & Its Limitations, AI Evaluations & Benchmarks",regulation,,2025-08-02,
How_AI_Labs_Can_Safeguard_Model_Weights_f80e302b.md,04_Governance-and-Policy/04c_Other-Governance,How AI Labs Can Safeguard Model Weights,https://www.rand.org/pubs/research_reports/RRA2849-1.html,blog_post,misalignment,"RLHF & Its Limitations, Existential Risk & Superintelligence, AI Evaluations & Benchmarks",benchmarks,Nevo; Sella; Lahav; Dan; Karpur; Ajay; Bar-On; Yogev; Bradley; Henry Alexander; Alstott; Jeff,2024-05-30,"As frontier artificial intelligence models become more capable, protecting them from theft and misuse will become more important. What can be done to protect model weights—the learnable parameters that encode the core intelligence of an AI—from potential attackers?"
Import_AI_a098b9cd.md,04_Governance-and-Policy/04c_Other-Governance,Import AI,https://jack-clark.net/,blog_post,misalignment,RLHF & Its Limitations,,Import AI,2026-04-20,
Location_Verification_for_AI_Chips_Institute_for_AI_Policy_and_Strategy_de9e0639.md,04_Governance-and-Policy/04c_Other-Governance,Location Verification for AI Chips — Institute for AI Policy and Strategy,https://www.iaps.ai/research/location-verification-for-ai-chips,blog_post,misalignment,RLHF & Its Limitations,"regulation, open-source",Asher Brass,2025-05-16,"Adding location verification features to AI chips could unlock new governance mechanisms for regulators, help enforce existing and future export controls by deterring and catching smuggling attempts, and enable post-sale verification of chip locations. This paper is meant to serve as an initial intr"
The_Computational_Democracy_Project_f509dda6.md,04_Governance-and-Policy/04c_Other-Governance,The Computational Democracy Project,https://compdemocracy.org/,blog_post,misalignment,RLHF & Its Limitations,open-source,,2025-01-01,Tools for deliberative democracy.
U.S._Commerce_Secretary_Gina_Raimondo_Announces_Expansion_of_U.S._AI_Safety_Institute_Leadership_Tea_ead0c98f.md,04_Governance-and-Policy/04c_Other-Governance,U.S. Commerce Secretary Gina Raimondo Announces Expansion of U.S. AI Safety Institute Leadership Team,https://www.nist.gov/news-events/news/2024/04/us-commerce-secretary-gina-raimondo-announces-expansion-us-ai-safety,blog_post,misalignment,"RLHF & Its Limitations, Existential Risk & Superintelligence",,,2024-04-16,"Raimondo named Paul Christiano as head of AI safety, Adam Russell as chief vision officer, Mara Campbell as acting chief operating officer and chief of staff, Rob Reich as senior advisor, and Mark Latonero as head of international engagement."
U.S._Pushes_for_Less_AI_Regulation_at_Paris_Summit_e783d383.md,04_Governance-and-Policy/04c_Other-Governance,U.S. Pushes for Less AI Regulation at Paris Summit,https://time.com/7221384/ai-regulation-takes-backseat-paris-summit,blog_post,misuse,RLHF & Its Limitations,"disinformation, governance, regulation, catastrophic-risk, Anthropic, OpenAI",Billy Perrigo; Paris,2025-02-11,"At the Paris AI Action Summit, safety concerns took a backseat to optimism."
What_Is_DeepSeek_the_New_Chinese_OpenAI_Rival_8399055d.md,04_Governance-and-Policy/04c_Other-Governance,"What Is DeepSeek, the New Chinese OpenAI Rival?",https://time.com/7210296/chinese-ai-company-deepseek-stuns-american-ai-industry,blog_post,misalignment,"RLHF & Its Limitations, Existential Risk & Superintelligence, AI Evaluations & Benchmarks","OpenAI, Meta, open-source",Billy Perrigo; Tharin Pillay,2025-01-27,The Chinese company causing turmoil in the American AI industry
What_normal_Americans_not_AI_companies_want_for_AI_ce23b483.md,04_Governance-and-Policy/04c_Other-Governance,What normal Americans — not AI companies — want for AI,https://www.vox.com/future-perfect/2023/8/18/23836362/ai-slow-down-poll-regulation,blog_post,misuse,"RLHF & Its Limitations, Existential Risk & Superintelligence","disinformation, governance, regulation, Anthropic, OpenAI",Sigal Samuel,2023-08-18,Public opinion about AI can be summed up in two words: Slow. Down.
Can_we_scale_human_feedback_for_complex_AI_tasks_An_intro_to_scalable_oversight._11db026c.md,05_Resources/05a_Educational,Can we scale human feedback for complex AI tasks? An intro to scalable oversight.,https://aisafetyfundamentals.com/blog/scalable-oversight-intro,educational,misalignment,"RLHF & Its Limitations, Scalable Oversight","RLHF, scalable-oversight",Adam Jones,2024-03-18,Reinforcement learning from human feedback (RLHF) has emerged as a powerful technique for steering large language models (LLMs) toward desired behaviours.
Can_we_scale_human_feedback_for_complex_AI_tasks_An_intro_to_scalable_oversight._814aa54b.md,05_Resources/05a_Educational,Can we scale human feedback for complex AI tasks? An intro to scalable oversight.,https://bluedot.org/blog/scalable-oversight-intro,educational,misalignment,"RLHF & Its Limitations, Scalable Oversight","RLHF, scalable-oversight",Adam Jones,2024-03-18,Reinforcement learning from human feedback (RLHF) has emerged as a powerful technique for steering large language models (LLMs) toward desired behaviours.
Reinforcement_Learning_from_Human_Feedback_RLHF_A_Simple_Explainer_e0204920.md,05_Resources/05a_Educational,Reinforcement Learning from Human Feedback (RLHF): A Simple Explainer,https://bluedot.org/blog/rlhf-explainer,blog_post,misalignment,RLHF & Its Limitations,RLHF,Sarah,2025-05-16,"Many people worry about risks from advanced AI, from loss-of-control to misuse by bad actors."
