filename,folder,title,url,source_type,risk_category,wiki_concepts,tags,author,published,description
New_report_Scheming_AIs_Will_AIs_fake_alignment_during_training_in_order_to_get_power_-_Joe_Carlsmit_71b7a799.md,01_Risks-and-Failure-Modes/01c_Alignment-Faking-Scheming,"New report: ""Scheming AIs: Will AIs fake alignment during training in order to get power?"" - Joe Carlsmith",https://joecarlsmith.com/2023/11/15/new-report-scheming-ais-will-ais-fake-alignment-during-training-in-order-to-get-power,blog_post,misalignment,Alignment Faking & Scheming,"scheming, deception, deceptive-alignment",Joe Carlsmith,2023-11-15,"My report examining the probability of a behavior often called ""deceptive alignment."
Recursive_Middle_Manager_Hell_9b066c2d.md,01_Risks-and-Failure-Modes/01c_Alignment-Faking-Scheming,Recursive Middle Manager Hell,https://www.lesswrong.com/posts/pHfPvb4JMhGDr4B7n/recursive-middle-manager-hell,blog_post,misalignment,"Existential Risk & Superintelligence, AI Evaluations & Benchmarks, Alignment Faking & Scheming","deception, evaluations",Raemon,2023-01-01,
Sandbagging_QA_with_Note_Chain-of-Thought_Transcript_Anti-Scheming_c45ec4f2.md,01_Risks-and-Failure-Modes/01c_Alignment-Faking-Scheming,Sandbagging Q&A with Note — Chain-of-Thought Transcript — Anti-Scheming,https://www.antischeming.ai/cot-transcripts/figure-47,blog_post,misalignment,Alignment Faking & Scheming,"scheming, sandbagging, chain-of-thought",Jasvin Kaur; Bronson Schoen; Evgenia Nitishinskaya; Mikita Balesni; Axel Højmark; Felix Hofstätter; Jérémy Scheurer; Alexander Meinke; Jason Wolfe; Teun van der Weij; Alex Lloyd; Nicholas Goldowsky-Dill; Angela Fan; Andrei Matveiakin; Rusheb Shah; Marcus Williams; Amelia Glaese; Boaz Barak; Wojciech Zaremba; Marius Hobbhahn,2025-08-25,"Complete chain-of-thought transcript from a deception evaluation, showing sandbagging in a frontier AI model"
Simple_probes_can_catch_sleeper_agents_b6ca1938.md,01_Risks-and-Failure-Modes/01c_Alignment-Faking-Scheming,Simple probes can catch sleeper agents,https://www.anthropic.com/research/probes-catch-sleeper-agents,blog_post,misalignment,Alignment Faking & Scheming,"deception, sleeper-agents, Anthropic",,2024-04-19,
Sleeper_Agents_Training_Deceptive_LLMs_that_Persist_Through_Safety_Training_2dc73751.md,01_Risks-and-Failure-Modes/01c_Alignment-Faking-Scheming,Sleeper Agents: Training Deceptive LLMs that Persist Through Safety Training,https://www.anthropic.com/research/sleeper-agents-training-deceptive-llms-that-persist-through-safety-training,blog_post,misalignment,Alignment Faking & Scheming,"deception, sleeper-agents, Anthropic",,2024-01-18,
Stress_Testing_Deliberative_Alignment_for_Anti-Scheming_Training_Apollo_Research_238004f9.md,01_Risks-and-Failure-Modes/01c_Alignment-Faking-Scheming,Stress Testing Deliberative Alignment for Anti-Scheming Training – Apollo Research,https://www.apolloresearch.ai/research/stress-testing-deliberative-alignment-for-anti-scheming-training,blog_post,misalignment,"Alignment Faking & Scheming, AI Evaluations & Benchmarks","scheming, deliberative-alignment, OpenAI",,2026-04-21,"We partnered with OpenAI to assess frontier language models for early signs of scheming — covertly pursuing misaligned goals — in controlled stress-tests (non-typical environments), and studied a training method that can significantly reduce (but not eliminate) these behaviors. Our results are compl"
The_Case_For_Ensuring_That_Powerful_Ais_Are_Controlled_aa6f98d1.md,01_Risks-and-Failure-Modes/01c_Alignment-Faking-Scheming,The Case For Ensuring That Powerful Ais Are Controlled,https://www.lesswrong.com/posts/kcKrE9mzEHrdqtDpE/the-case-for-ensuring-that-powerful-ais-are-controlled,blog_post,misalignment,"Scalable Oversight, Alignment Faking & Scheming, AI Evaluations & Benchmarks","scheming, deception, deceptive-alignment, scalable-oversight, evaluations, catastrophic-risk, OpenAI",Ryan Greenblatt; Buck,2024-01-24,
Training_AI_Agents_To_Solve_Hard_Problems_Could_Lead_To_b7040c0e.md,01_Risks-and-Failure-Modes/01c_Alignment-Faking-Scheming,Training AI Agents To Solve Hard Problems Could Lead To,https://www.lesswrong.com/posts/QqYfxeogtatKotyEC/training-ai-agents-to-solve-hard-problems-could-lead-to,blog_post,misalignment,"RLHF & Its Limitations, Constitutional AI (RLAIF), Alignment Faking & Scheming, Existential Risk & Superintelligence","scheming, deception, deceptive-alignment, sleeper-agents, sycophancy, RLHF, RLAIF, chain-of-thought, catastrophic-risk, robustness",Marius Hobbhahn; AlexMeinke,2024-11-19,
Why_Would_AI_Aim_To_Defeat_Humanity_efd7b429.md,01_Risks-and-Failure-Modes/01c_Alignment-Faking-Scheming,"Why Would AI ""Aim"" To Defeat Humanity?",https://www.cold-takes.com/p/50c1ecc0-befa-491d-8938-17477bd18e5f,blog_post,misalignment,"Alignment Faking & Scheming, Existential Risk & Superintelligence","deception, x-risk, AGI",Holden Karnofsky,2022-11-29,"Today's AI development methods risk training AIs to be deceptive, manipulative and ambitious. This might not be easy to fix as it comes up."
regular_expert_iteration_is_like_this_but_with_noise0_67f38999.md,01_Risks-and-Failure-Modes/01c_Alignment-Faking-Scheming,"regular expert iteration is like this, but with noise=0",https://www.lesswrong.com/posts/GE6pcmmLc3kdpNJja/fuzzing-llms-sometimes-makes-them-reveal-their-secrets,blog_post,"misuse, misalignment","Alignment Faking & Scheming, AI Evaluations & Benchmarks","sandbagging, chain-of-thought, open-weight",Fabien Roger,2025-02-26,
Sleeper_Agents_Training_Deceptive_LLMs_that_Persist_Through_Safety_Training_7defe513.md,02_Mitigations-and-Methods/02f_Interpretability,Sleeper Agents: Training Deceptive LLMs that Persist Through Safety Training,https://www.anthropic.com/news/sleeper-agents-training-deceptive-llms-that-persist-through-safety-training,blog_post,misalignment,Alignment Faking & Scheming,"deception, sleeper-agents, Anthropic, interpretability",,2023-11-03,"Anthropic is an AI safety and research company that's working to build reliable, interpretable, and steerable AI systems."
What_is_faithful_chain-of-thought_reasoning_and_why_is_it_useful_for_AI_safety_4f1c4c90.md,02_Mitigations-and-Methods/02f_Interpretability,What is faithful chain-of-thought reasoning and why is it useful for AI safety?,https://bluedot.org/blog/faithful-chain-of-thought,educational,"misalignment, mistakes","Alignment Faking & Scheming, Existential Risk & Superintelligence, AI Evaluations & Benchmarks","deception, sandbagging, reward-hacking, chain-of-thought, Anthropic, OpenAI, interpretability",Sarah,2025-05-21,Modern Large Language Models (LLMs) are often referred to as “black boxes”.
Putting_up_Bumpers_0d0b4e54.md,03_Evaluations/03a_Methodology,Putting up Bumpers,https://alignment.anthropic.com/2025/bumpers,blog_post,misalignment,"RLHF & Its Limitations, Alignment Faking & Scheming, Weak-to-Strong Generalization, Existential Risk & Superintelligence, AI Evaluations & Benchmarks","sandbagging, superalignment, evaluations, red-teaming, dangerous-capabilities, regulation, AGI, autonomous-systems, Anthropic, OpenAI",,2025-04-23,
