filename,old_folder,new_folder,source_type,wiki_concepts,tags,risk_category,confidence,moved
Getting_Closer_to_AI_Complete_Question_Answering_A_Set_of_Prerequisite_Real_Tasks_d03c202c.md,AI Safety,AI Risk Mitigation,blog_post,Pretraining Data Filtering,,misalignment,low,yes
GiveWell_10b8709a.md,AI Safety,RSP,blog_post,RLHF & Its Limitations|AI Evaluations & Benchmarks|Responsible Scaling Policies,evaluations|RSP,misalignment,medium,yes
Going_on_a_vacation_takes_longer_than_Going_for_a_walk_A_Study_of_Temporal_Commonsense_Understanding_ab7380ce.md,AI Safety,Evaluation,blog_post,AI Evaluations & Benchmarks,,misalignment,low,yes
Goodharts_law_-_Wikipedia_d425846f.md,AI Safety,Evaluation,blog_post,Existential Risk & Superintelligence|AI Evaluations & Benchmarks,evaluations|regulation|extinction,misalignment,medium,yes
Google_-_Wikipedia_500fb8cf.md,AI Safety,AI Risk Mitigation,blog_post,RLHF & Its Limitations|Agentic Misalignment,autonomous-systems|Google,misalignment,medium,yes
Google_Security_Keys_Neutralized_Employee_Phishing_34af5dff.md,AI Safety,AI Risk Mitigation,blog_post,RLHF & Its Limitations,Google|open-source,misalignment,medium,yes
Google_pauses_AI-generated_images_of_people_after_ethnicity_criticism_e22a3751.md,AI Safety,AI Safety,blog_post,,Google,misalignment,low,no
Googles_AI_Beats_Legendary_Go_Player_c87361a1.md,AI Safety,AI Safety,blog_post,,DeepMind,misalignment,low,no
Green_Revolution_-_Wikipedia_1d22240b.md,AI Safety,AI Safety,blog_post,,,misalignment,low,no
HiLumi_LHC_CERNs_full-scale_test_stand_ente..._f5bf7d31.md,AI Safety,Evaluation,blog_post,Existential Risk & Superintelligence|AI Evaluations & Benchmarks,,misalignment,low,yes
High-Low_Frequency_Detectors_69e34f7f.md,AI Safety,AI Safety,blog_post,Existential Risk & Superintelligence,watermarking,misalignment,low,no
Highly_accurate_protein_structure_prediction_with_AlphaFold_-_Nature_a06e223c.md,AI Safety,AI Risk Mitigation,blog_post,Scalable Oversight|Existential Risk & Superintelligence,,misalignment,low,yes
HodgkinHuxley_model_-_Wikipedia_cbacdc23.md,AI Safety,AI Safety,blog_post,,,structural,low,no
How_AI_Labs_Can_Safeguard_Model_Weights_f80e302b.md,AI Safety,Evaluation,blog_post,RLHF & Its Limitations|Existential Risk & Superintelligence|AI Evaluations & Benchmarks,benchmarks,misalignment,low,yes
How_to_make_the_best_of_the_most_important_century_8d776ced.md,AI Safety,AI Safety,blog_post,Existential Risk & Superintelligence,adversarial|x-risk|AGI,misalignment,high,no
IBMs_Watson_gave_unsafe_recommendations_for_treating_cancer_f6b8efde.md,AI Safety,AI Risk Mitigation,blog_post,RLHF & Its Limitations|Scalable Oversight,,misalignment,low,yes
If-Then_Commitments_for_AI_Risk_Reduction_420ae078.md,AI Safety,AI Safety,blog_post,Existential Risk & Superintelligence,bioweapons|cyber-offense|regulation|catastrophic-risk|Anthropic|OpenAI|DeepMind|Google|jailbreaking,misuse,medium,no
In_the_AI_science_boom_beware_your_results_are_only_as_good_as_your_data_aa0d4625.md,AI Safety,AI Safety,blog_post,,,misalignment,low,no
Increasing_the_Policy_Readiness_of_Ideas_Tom_Kalil_9daa4574.md,AI Safety,RSP,blog_post,RLHF & Its Limitations|Scalable Oversight|Existential Risk & Superintelligence|AI Evaluations & Benchmarks|Responsible Scaling Policies,RSP|governance|regulation,misalignment,medium,yes
Inhibition_of_IL-11_signalling_extends_mammalian_healthspan_and_lifespan_-_Nature_4dbe3a8d.md,AI Safety,AI Risk Mitigation,blog_post,RLHF & Its Limitations,regulation,misalignment,low,yes
Inside_the_hunt_for_new_physics_at_the_worlds_largest_particle_collider_185a25b3.md,AI Safety,AI Safety,blog_post,,,misalignment,low,no
Institute_for_Disease_Modeling_-_Wikipedia_ef22656c.md,AI Safety,RSP,blog_post,Scalable Oversight|Responsible Scaling Policies,open-source,misalignment,low,yes
Intel_-_Wikipedia_d0c6776a.md,AI Safety,AI Safety,blog_post,,,misalignment,low,no
International_AI_Safety_Report_a7f7f227.md,AI Safety,AI Safety,blog_post,,watermarking,misalignment,low,no
Introducing_computer_use_a_new_Claude_3.5_Sonnet_and_Claude_3.5_Haiku_03af6638.md,AI Safety,RSP,blog_post,Agentic Misalignment|AI Evaluations & Benchmarks|Responsible Scaling Policies,evaluations|benchmarks|RSP|responsible-scaling|ASL|catastrophic-risk|agentic-AI|tool-use|autonomous-systems|Anthropic,misalignment,medium,yes
Introducing_the_Anthropic_Fellows_Program_for_AI_Safety_Research_3a87facf.md,AI Safety,RSP,blog_post,RLHF & Its Limitations|Scalable Oversight|Alignment Faking & Scheming|AI Evaluations & Benchmarks|Responsible Scaling Policies,deception|sleeper-agents|reward-modeling|scalable-oversight|evaluations|dangerous-capabilities|chain-of-thought|RSP|Anthropic|robustness,misuse|misalignment,high,yes
Is_Democracy_a_Fad_6c2db200.md,AI Safety,AI Risk Mitigation,blog_post,RLHF & Its Limitations,,misalignment,low,yes
Jailbreak_tricks_Discords_new_chatbot_into_sharing_napalm_and_meth_instructions_TechCrunch_ec6b1403.md,AI Safety,RSP,blog_post,RLHF & Its Limitations|Existential Risk & Superintelligence|Responsible Scaling Policies,OpenAI|jailbreaking|prompt-injection,misuse,medium,yes
Jason_Matheny_-_Profile_8006f865.md,AI Safety,AI Risk Mitigation,blog_post,RLHF & Its Limitations,,misalignment,low,yes
Jeffrey_Lee_faf2d73f.md,AI Safety,AI Safety,blog_post,,dual-use,misuse,low,no
John_D._Morley_b9ea4300.md,AI Safety,AI Safety,blog_post,,regulation,misalignment,low,no
KullbackLeibler_divergence_-_Wikipedia_f9bd8e99.md,AI Safety,Evaluation,blog_post,AI Evaluations & Benchmarks,,misalignment,low,yes
LAB-Bench_Measuring_Capabilities_of_Language_Models_for_Biology_Research_FutureHouse_71d8629b.md,AI Safety,Evaluation,blog_post,Scalable Oversight|Agentic Misalignment|Existential Risk & Superintelligence|AI Evaluations & Benchmarks,evaluations|benchmarks|tool-use,misalignment,medium,yes
LESSWRONG_318b69cf.md,AI Safety,Evaluation,blog_post,RLHF & Its Limitations|AI Evaluations & Benchmarks,,misalignment,low,yes
LESSWRONG_6e8fb49c.md,AI Safety,AI Risk Mitigation,blog_post,Scalable Oversight,autonomous-systems|OpenAI,misalignment,medium,yes
LESSWRONG_cc1eed09.md,AI Safety,AI Risk Mitigation,blog_post,RLHF & Its Limitations|Existential Risk & Superintelligence|Agentic Misalignment,,misalignment,low,yes
LESSWRONG_d0aef86c.md,AI Safety,AI Risk Mitigation,blog_post,RLHF & Its Limitations|Scalable Oversight|Existential Risk & Superintelligence,,misalignment,low,yes
LESSWRONG_f9826af5.md,AI Safety,AI Risk Mitigation,blog_post,RLHF & Its Limitations,,misalignment,low,yes
LLM_CTF_SaTML_2024_97b1f306.md,AI Safety,Evaluation,blog_post,AI Evaluations & Benchmarks,evaluations|red-teaming|adversarial|prompt-injection|open-source,misalignment,medium,yes
Landauers_principle_-_Wikipedia_1e0a71ad.md,AI Safety,AI Safety,blog_post,,,misalignment,low,no
Life_Expectancy_5bd162df.md,AI Safety,AI Safety,blog_post,,,misalignment,low,no
Locating_and_Editing_Factual_Associations_in_GPT_c596305d.md,AI Safety,RSP,blog_post,AI Evaluations & Benchmarks|Responsible Scaling Policies,RSP,misalignment,low,yes
Location_Verification_for_AI_Chips_Institute_for_AI_Policy_and_Strategy_de9e0639.md,AI Safety,AI Risk Mitigation,blog_post,RLHF & Its Limitations,regulation|open-source,misalignment,medium,yes
Lump_of_labour_fallacy_-_Wikipedia_be3ef851.md,AI Safety,AI Safety,blog_post,,,misalignment,low,no
MATS_Research_fb0dee66.md,AI Safety,RSP,blog_post,RLHF & Its Limitations|AI Evaluations & Benchmarks|Responsible Scaling Policies,deception|RSP|Anthropic|interpretability|mechanistic-interpretability|transparency,misalignment,medium,yes
Malaria_vaccine_-_Wikipedia_a81e30ed.md,AI Safety,AI Risk Mitigation,blog_post,RLHF & Its Limitations,regulation,misalignment,low,yes
Mapping_the_Mind_of_a_Large_Language_Model_498fcf79.md,AI Safety,AI Risk Mitigation,blog_post,RLHF & Its Limitations,Anthropic|OpenAI|interpretability,misalignment,medium,yes
Modifying_LLM_Beliefs_with_Synthetic_Document_Finetuning_6e2b5ec5.md,AI Safety,Evaluation,blog_post,Pretraining Data Filtering|AI Evaluations & Benchmarks,unlearning|evaluations|chain-of-thought|Anthropic|OpenAI|open-source,misalignment,high,yes
Noah_R._Feldman_-_Harvard_Law_School_c07b20cb.md,AI Safety,Model-level Mitigation,blog_post,Scalable Oversight|Constitutional AI (RLAIF),governance,misalignment,low,yes
Official_Leaderboards_cf42ebe4.md,AI Safety,Evaluation,blog_post,RLHF & Its Limitations|AI Evaluations & Benchmarks|Agentic Misalignment,evaluations|Anthropic|OpenAI|open-source,misalignment,medium,yes
OpenAI_Model_Spec_49ff3771.md,AI Safety,AI Risk Mitigation,blog_post,RLHF & Its Limitations|Existential Risk & Superintelligence,OpenAI|transparency,misalignment,medium,yes
Optogenetics_-_Wikipedia_2e1a262a.md,AI Safety,AI Safety,blog_post,Existential Risk & Superintelligence,,misalignment,low,no
Order_statistic_-_Wikipedia_8127eb5f.md,AI Safety,Evaluation,blog_post,RLHF & Its Limitations|AI Evaluations & Benchmarks,,misalignment,low,yes
Paul_Christiano_Current_Work_in_AI_Alignment_Effective_Altruism_c4e0b2b8.md,AI Safety,RSP,blog_post,Existential Risk & Superintelligence|Responsible Scaling Policies|RLHF & Its Limitations,RSP|catastrophic-risk|OpenAI,mistakes,medium,yes
Pause_Giant_AI_Experiments_An_Open_Letter_-_Future_of_Life_Institute_d6f15827.md,AI Safety,RSP,petition,Existential Risk & Superintelligence|Responsible Scaling Policies,power-seeking|RSP|governance|regulation|x-risk|existential-risk|superintelligence|catastrophic-risk|OpenAI|interpretability,misalignment,medium,yes
Political_Declaration_on_Responsible_Military_Use_of_Artificial_Intelligence_and_Autonomy_-_United_S_bf03e86d.md,AI Safety,AI Risk Mitigation,blog_post,Scalable Oversight,,misalignment,low,yes
Population_Growth_0b6d4e35.md,AI Safety,Evaluation,blog_post,AI Evaluations & Benchmarks,,misalignment,low,yes
Pre-agriculture_gender_relations_seem_bad_b40c36f1.md,AI Safety,RSP,blog_post,RLHF & Its Limitations|Scalable Oversight|Responsible Scaling Policies|Existential Risk & Superintelligence,RSP|Google|x-risk|AGI,misalignment,high,yes
Privacy_Notice_80f27f3c.md,AI Safety,AI Safety,research_paper,,AGI,structural,low,no
Putting_up_Bumpers_0d0b4e54.md,AI Safety,Evaluation,blog_post,RLHF & Its Limitations|Alignment Faking & Scheming|Weak-to-Strong Generalization|Existential Risk & Superintelligence|AI Evaluations & Benchmarks,sandbagging|superalignment|evaluations|red-teaming|dangerous-capabilities|regulation|AGI|autonomous-systems|Anthropic|OpenAI,misalignment,high,yes
Quantum_tunnelling_-_Wikipedia_fd74ba02.md,AI Safety,AI Safety,blog_post,,,misalignment,low,no
RAND_Global_and_Emerging_Risks_28d3042c.md,AI Safety,AI Safety,blog_post,,,misalignment,low,no
RAND_Provides_Objective_Research_Services_and_Public_Policy_Analysis_1dbe37c2.md,AI Safety,AI Safety,blog_post,,,misalignment,low,no
Reasons_that_AI_Can_Help_with_AI_Governance_56a98a0a.md,AI Safety,RSP,blog_post,Constitutional AI (RLAIF)|Existential Risk & Superintelligence|AI Evaluations & Benchmarks|Responsible Scaling Policies,Constitutional-AI|bioweapons|cyber-offense|disinformation|RSP|governance|Anthropic|OpenAI|open-source,misuse,medium,yes
Rights_and_Permissions_dd3789cd.md,AI Safety,AI Safety,blog_post,,,misalignment,low,no
Roth_v._United_States_-_Wikipedia_82972646.md,AI Safety,AI Safety,blog_post,,,misalignment,low,no
Safety_engineering_target_selection_and_alignment_theory_-_Machine_Intelligence_Research_Institute_8e289f7b.md,AI Safety,AI Risk Mitigation,blog_post,RLHF & Its Limitations|Existential Risk & Superintelligence,,misalignment,low,yes
Scaling_tacit_knowledge_8d8f5a60.md,AI Safety,AI Risk Mitigation,blog_post,RLHF & Its Limitations|Scalable Oversight|Existential Risk & Superintelligence,Google,misalignment,low,yes
Secretary_of_State_speech_at_CogX_Festival_3ceb7a55.md,AI Safety,AI Safety,blog_post,,regulation,misalignment,low,no
Sensitive_compartmented_information_facility_-_Wikipedia_f4baae85.md,AI Safety,AI Risk Mitigation,blog_post,Scalable Oversight,,misalignment,low,yes
Short_letter_to_my_11-year-old_self_174af071.md,AI Safety,AI Risk Mitigation,blog_post,RLHF & Its Limitations|Scalable Oversight|Existential Risk & Superintelligence,debate|biorisk,misalignment,medium,yes
Smallpox_8f3d0739.md,AI Safety,AI Safety,blog_post,,,misalignment,low,no
Smart_contract_-_Wikipedia_a859c087.md,AI Safety,AI Risk Mitigation,blog_post,RLHF & Its Limitations,,misalignment,low,yes
Sortition_-_Wikipedia_38461114.md,AI Safety,AI Risk Mitigation,blog_post,RLHF & Its Limitations|Existential Risk & Superintelligence,governance,misalignment,low,yes
Squiggle_Maximizer_formerly_Paperclip_maximizer_9bc9007c.md,AI Safety,RSP,blog_post,RLHF & Its Limitations|Scalable Oversight|Existential Risk & Superintelligence|Responsible Scaling Policies,inner-alignment|outer-alignment|RSP|AGI|intelligence-explosion,misalignment,medium,yes
Statistical_hypothesis_test_-_Wikipedia_391af5d7.md,AI Safety,Evaluation,blog_post,AI Evaluations & Benchmarks,,misalignment,low,yes
Steering_at_the_Frontier_Extending_the_Power_of_Prompting_-_Microsoft_Research_aacb2dd9.md,AI Safety,Evaluation,blog_post,RLHF & Its Limitations|Scalable Oversight|AI Evaluations & Benchmarks,evaluations|benchmarks|Google,misalignment,medium,yes
Subscribe_to_Epoch_AI_0f65568e.md,AI Safety,AI Safety,blog_post,,,misalignment,low,no
