from,reason,status,substring,to
04_Governance-and-Policy/04c_Other-Governance/Sortition_-_Wikipedia_38461114.md,political philosophy Wikipedia,ok,Sortition_-_Wikipedia,05_Resources/05b_Sources-Background/Sortition_-_Wikipedia_38461114.md
02_Mitigations-and-Methods/02a_RLHF-and-Limitations/WikipediaManual_of_Style_-_Wikipedia_b6776631.md,"Wikipedia meta-page, not on-topic anywhere",ok,WikipediaManual_of_Style,05_Resources/05b_Sources-Background/WikipediaManual_of_Style_-_Wikipedia_b6776631.md
01_Risks-and-Failure-Modes/01a_Existential-Risk/Antagonistic_pleiotropy_hypothesis_-_Wikipedia_0f4a99da.md,biology Wikipedia,ok,Antagonistic_pleiotropy,05_Resources/05b_Sources-Background/Antagonistic_pleiotropy_hypothesis_-_Wikipedia_0f4a99da.md
,explicit cyber benchmark,target_exists,Catastrophic_Cyber_Capabilities_Benchmark_3CB,
03_Evaluations/03e_Other-Evaluations/LLM_CTF_SaTML_2024_97b1f306.md,LLM capture-the-flag cyber competition,ok,LLM_CTF_SaTML,03_Evaluations/03c_Cyber-Bio-Benchmarks/LLM_CTF_SaTML_2024_97b1f306.md
03_Evaluations/03e_Other-Evaluations/Virology_Capabilities_Test_430289e6.md,explicit bio capability test (VCT),ok,Virology_Capabilities_Test,03_Evaluations/03c_Cyber-Bio-Benchmarks/Virology_Capabilities_Test_430289e6.md
03_Evaluations/03e_Other-Evaluations/Vending-Bench_Testing_long-term_coherence_in_agents_Andon_Labs_fe7f5bac.md,agent long-horizon coherence benchmark,ok,Vending-Bench,03_Evaluations/03d_Agent-Benchmarks-and-Frameworks/Vending-Bench_Testing_long-term_coherence_in_agents_Andon_Labs_fe7f5bac.md
03_Evaluations/03e_Other-Evaluations/Language_Model_Pilot_Report_409a066e.md,METR agent eval report,ok,Language_Model_Pilot_Report,03_Evaluations/03d_Agent-Benchmarks-and-Frameworks/Language_Model_Pilot_Report_409a066e.md
,RE-Bench agent benchmark for ML R&D,no_match,Evaluating_frontier_AI_R_D_capabilities_of_language_model_agents,
03_Evaluations/03e_Other-Evaluations/Details_about_METRs_preliminary_evaluation_of_OpenAI_o1-preview_ba23dd60.md,agent capability eval of o1-preview,ok,Details_about_METRs_preliminary_evaluation_of_OpenAI_o1-preview,03_Evaluations/03d_Agent-Benchmarks-and-Frameworks/Details_about_METRs_preliminary_evaluation_of_OpenAI_o1-preview_ba23dd60.md
,explicit methodology argument,no_match,We_Need_A_Science_of_Evals,
,"open-problems-in-evals doc, methodology",no_match,a_long_list_of_open_problems_and_concrete_projects_in_evals,
03_Evaluations/03e_Other-Evaluations/Sabotage_evaluations_for_frontier_models_a3405563.md,Anthropic eval methodology paper on sabotage threat models,ok,Sabotage_evaluations_for_frontier_models,03_Evaluations/03a_Methodology/Sabotage_evaluations_for_frontier_models_a3405563.md
