filename,status,target,info
An_Opinionated_Evals_Reading_List_Apollo_Research_318f07f1.md,ok,Evaluation/An_Opinionated_Evals_Reading_List_Apollo_Research_318f07f1.md,confidence=medium
Announcements_0f14dddf.md,ok,AI Safety/Announcements_0f14dddf.md,confidence=low
Announcing_our_updated_Responsible_Scaling_Policy_3a0b4572.md,ok,RSP/Announcing_our_updated_Responsible_Scaling_Policy_3a0b4572.md,confidence=high
Anson_Ho_ed0b588b.md,ok,AI Safety/Anson_Ho_ed0b588b.md,confidence=low
Antagonistic_pleiotropy_hypothesis_-_Wikipedia_0f4a99da.md,ok,AI Safety/Antagonistic_pleiotropy_hypothesis_-_Wikipedia_0f4a99da.md,confidence=low
Anthropic_Raises_450_Million_in_Series_C_Funding_to_Scale_Reliable_AI_Products_ac35f548.md,ok,AI Safety/Anthropic_Raises_450_Million_in_Series_C_Funding_to_Scale_Reliable_AI_Products_ac35f548.md,confidence=medium
Anthropics_Frontier_Safety_Roadmap_c71576a7.md,ok,AI Safety/Anthropics_Frontier_Safety_Roadmap_c71576a7.md,confidence=low
Anthropics_Responsible_Scaling_Policy_274b3659.md,ok,RSP/Anthropics_Responsible_Scaling_Policy_274b3659.md,confidence=high
Anthropics_Responsible_Scaling_Policy_7e83d9fc.md,ok,RSP/Anthropics_Responsible_Scaling_Policy_7e83d9fc.md,confidence=high
Anthropics_Responsible_Scaling_Policy_dc72fbff.md,ok,RSP/Anthropics_Responsible_Scaling_Policy_dc72fbff.md,confidence=high
Anthropicâs_Interpretability_Research_7ff6253f.md,ok,AI Safety/Anthropicâs_Interpretability_Research_7ff6253f.md,confidence=medium
Anti-Scheming_9ff2d5f5.md,ok,Evaluation/Anti-Scheming_9ff2d5f5.md,confidence=high
Apollo_Research_057bf1be.md,ok,Evaluation/Apollo_Research_057bf1be.md,confidence=high
Approximating_KL_Divergence_e00e4e24.md,ok,AI Safety/Approximating_KL_Divergence_e00e4e24.md,confidence=low
Article_56_Codes_of_Practice_cd9ad85d.md,ok,AI Safety/Article_56_Codes_of_Practice_cd9ad85d.md,confidence=low
Artificial_Intelligence_Values_and_Alignment_812bd0cd.md,ok,AI Safety/Artificial_Intelligence_Values_and_Alignment_812bd0cd.md,confidence=medium
Assurance_contract_-_Wikipedia_05c9efe6.md,ok,AI Safety/Assurance_contract_-_Wikipedia_05c9efe6.md,confidence=low
Asynchronous_Methods_for_Deep_Reinforcement_Learning_172f3efa.md,ok,AI Safety/Asynchronous_Methods_for_Deep_Reinforcement_Learning_172f3efa.md,confidence=low
Atoms_for_Peace_-_Wikipedia_5e142ed9.md,ok,AI Safety/Atoms_for_Peace_-_Wikipedia_5e142ed9.md,confidence=low
Auditing_language_models_for_hidden_objectives_7147645e.md,ok,AI Safety/Auditing_language_models_for_hidden_objectives_7147645e.md,confidence=medium
Aviary_training_language_agents_on_challenging_scientific_tasks_FutureHouse_a9156d94.md,ok,AI Safety/Aviary_training_language_agents_on_challenging_scientific_tasks_FutureHouse_a9156d94.md,confidence=low
BLEU_-_Wikipedia_1eb08290.md,ok,Evaluation/BLEU_-_Wikipedia_1eb08290.md,confidence=medium
BadLlama_3_d33b0c77.md,ok,AI Safety/BadLlama_3_d33b0c77.md,confidence=low
Baruch_Plan_-_Wikipedia_20604dc4.md,ok,AI Safety/Baruch_Plan_-_Wikipedia_20604dc4.md,confidence=low
Bayes_factor_-_Wikipedia_2aa0afd6.md,ok,AI Safety/Bayes_factor_-_Wikipedia_2aa0afd6.md,confidence=low
Bill_Text_b3f665b3.md,ok,AI Safety/Bill_Text_b3f665b3.md,confidence=low
Biological_anchors_is_about_bounding_not_pinpointing_AI_timelines_343fcd20.md,ok,AI Safety/Biological_anchors_is_about_bounding_not_pinpointing_AI_timelines_343fcd20.md,confidence=medium
Bria_Persaud_-_Publications_0d1f44dd.md,ok,Evaluation/Bria_Persaud_-_Publications_0d1f44dd.md,confidence=medium
Buck_3aaf690a.md,ok,AI Safety/Buck_3aaf690a.md,confidence=low
CAR_T_cell_-_Wikipedia_17b955b4.md,ok,AI Safety/CAR_T_cell_-_Wikipedia_17b955b4.md,confidence=low
CBPAI_522ed094.md,ok,AI Safety/CBPAI_522ed094.md,confidence=high
CBRN_defense_-_Wikipedia_7dc02fd5.md,ok,AI Safety/CBRN_defense_-_Wikipedia_7dc02fd5.md,confidence=low
CERN_for_AI_An_overview_ad031a5f.md,ok,AI Safety/CERN_for_AI_An_overview_ad031a5f.md,confidence=low
CLARITY_-_Wikipedia_23c62aeb.md,ok,AI Safety/CLARITY_-_Wikipedia_23c62aeb.md,confidence=low
CRISPRCas_History_and_Perspectives_-_Russian_Journal_of_Developmental_Biology_35497485.md,ok,RSP/CRISPRCas_History_and_Perspectives_-_Russian_Journal_of_Developmental_Biology_35497485.md,confidence=medium
CRISPR_-_Wikipedia_6fa4f6de.md,ok,AI Safety/CRISPR_-_Wikipedia_6fa4f6de.md,confidence=low
CS_188_Fall_2024_968558fc.md,ok,AI Safety/CS_188_Fall_2024_968558fc.md,confidence=low
CYBERSECEVAL_3_Advancing_the_Evaluation_of_Cybersecurity_Risks_and_Capabilities_in_Large_Language_Mo_daa15df8.md,ok,Evaluation/CYBERSECEVAL_3_Advancing_the_Evaluation_of_Cybersecurity_Risks_and_Capabilities_in_Large_Language_Mo_daa15df8.md,confidence=high
Can_we_scale_human_feedback_for_complex_AI_tasks_An_intro_to_scalable_oversight._11db026c.md,ok,AI Risk Mitigation/Can_we_scale_human_feedback_for_complex_AI_tasks_An_intro_to_scalable_oversight._11db026c.md,confidence=high
Can_we_scale_human_feedback_for_complex_AI_tasks_An_intro_to_scalable_oversight._814aa54b.md,ok,AI Risk Mitigation/Can_we_scale_human_feedback_for_complex_AI_tasks_An_intro_to_scalable_oversight._814aa54b.md,confidence=high
Catastrophic_Cyber_Capabilities_Benchmark_3CB_b8978dcf.md,ok,Evaluation/Catastrophic_Cyber_Capabilities_Benchmark_3CB_b8978dcf.md,confidence=high
Challenges_and_Prizes_ffebac34.md,ok,Evaluation/Challenges_and_Prizes_ffebac34.md,confidence=high
Challenges_in_evaluating_AI_systems_a00c9d7e.md,ok,Evaluation/Challenges_in_evaluating_AI_systems_a00c9d7e.md,confidence=medium
Charles_Teague_-_Publications_ab391267.md,ok,Evaluation/Charles_Teague_-_Publications_ab391267.md,confidence=medium
Claude_Doesnt_Want_to_Die_b85a5017.md,ok,AI Safety/Claude_Doesnt_Want_to_Die_b85a5017.md,confidence=low
Claudes_Constitution_5f2c1d85.md,ok,AI Safety/Claudes_Constitution_5f2c1d85.md,confidence=low
Claudes_Constitution_b1c32e58.md,ok,AI Safety/Claudes_Constitution_b1c32e58.md,confidence=low
Code_World_Model_Preparedness_Report_d4af6e7f.md,ok,AI Safety/Code_World_Model_Preparedness_Report_d4af6e7f.md,confidence=low
Collective_Constitutional_AI_Aligning_a_Language_Model_with_Public_Input_3c9b034d.md,ok,Model-level Mitigation/Collective_Constitutional_AI_Aligning_a_Language_Model_with_Public_Input_3c9b034d.md,confidence=high
Combining_weak-to-strong_generalization_with_scalable_oversight_8d050f49.md,ok,Model-level Mitigation/Combining_weak-to-strong_generalization_with_scalable_oversight_8d050f49.md,confidence=high
Concorde_-_Wikipedia_12110b87.md,ok,AI Safety/Concorde_-_Wikipedia_12110b87.md,confidence=low
Confidential_computing_-_Wikipedia_8466b72c.md,ok,AI Safety/Confidential_computing_-_Wikipedia_8466b72c.md,confidence=low
Constitutional_Classifiers_Defending_against_universal_jailbreaks_fe7661a0.md,ok,AI Safety/Constitutional_Classifiers_Defending_against_universal_jailbreaks_fe7661a0.md,confidence=medium
Construct_validity_-_Wikipedia_d940ad0b.md,ok,AI Safety/Construct_validity_-_Wikipedia_d940ad0b.md,confidence=low
Contact_Us_Apollo_Research_f43d6548.md,ok,Evaluation/Contact_Us_Apollo_Research_f43d6548.md,confidence=high
Cookie_Policy_1d4cbca5.md,ok,AI Safety/Cookie_Policy_1d4cbca5.md,confidence=low
Cooperative_AI_Contact_92f721d2.md,ok,AI Safety/Cooperative_AI_Contact_92f721d2.md,confidence=low
Core_Views_on_AI_Safety_When_Why_What_and_How_8c7fd668.md,ok,AI Safety/Core_Views_on_AI_Safety_When_Why_What_and_How_8c7fd668.md,confidence=low
Core_Views_on_AI_Safety_When_Why_What_and_How_cbeac227.md,ok,AI Safety/Core_Views_on_AI_Safety_When_Why_What_and_How_cbeac227.md,confidence=low
Cosmos_QA_Machine_Reading_Comprehension_with_Contextual_Commonsense_Reasoning_a5443f4c.md,ok,AI Safety/Cosmos_QA_Machine_Reading_Comprehension_with_Contextual_Commonsense_Reasoning_a5443f4c.md,confidence=low
Could_Artificial_Intelligence_Be_Misused_to_Plan_Biological_Attacks_fd68ea56.md,ok,AI Safety/Could_Artificial_Intelligence_Be_Misused_to_Plan_Biological_Attacks_fd68ea56.md,confidence=low
Countries_that_are_democracies_and_autocracies_a519aa06.md,ok,AI Safety/Countries_that_are_democracies_and_autocracies_a519aa06.md,confidence=low
Crop_Yields_042899e6.md,ok,AI Safety/Crop_Yields_042899e6.md,confidence=low
Cruel_and_unusual_punishment_-_Wikipedia_70a00794.md,ok,AI Safety/Cruel_and_unusual_punishment_-_Wikipedia_70a00794.md,confidence=low
Cybench_05abdf0e.md,ok,Evaluation/Cybench_05abdf0e.md,confidence=high
Dangerous_capability_tests_should_be_harder_603893a0.md,ok,Evaluation/Dangerous_capability_tests_should_be_harder_603893a0.md,confidence=medium
Dario_Amodei_Machines_of_Loving_Grace_caf0dd8e.md,ok,AI Safety/Dario_Amodei_Machines_of_Loving_Grace_caf0dd8e.md,confidence=low
Dawid_Maciorowski_-_Publications_1550c25d.md,ok,Evaluation/Dawid_Maciorowski_-_Publications_1550c25d.md,confidence=medium
Deep_Reinforcement_Learning_from_Human_Preferences_6168096f.md,ok,AI Safety/Deep_Reinforcement_Learning_from_Human_Preferences_6168096f.md,confidence=low
Deep_TAMER_Interactive_Agent_Shaping_in_High-Dimensional_State_Spaces_1a8f076f.md,ok,AI Safety/Deep_TAMER_Interactive_Agent_Shaping_in_High-Dimensional_State_Spaces_1a8f076f.md,confidence=low
Deep_Utopia_0e4e1bd3.md,ok,AI Safety/Deep_Utopia_0e4e1bd3.md,confidence=medium
Defining_Insider_Threats_CISA_9afeb970.md,ok,AI Safety/Defining_Insider_Threats_CISA_9afeb970.md,confidence=low
Details_about_METRs_preliminary_evaluation_of_OpenAI_o1-preview_ba23dd60.md,ok,Evaluation/Details_about_METRs_preliminary_evaluation_of_OpenAI_o1-preview_ba23dd60.md,confidence=high
Detecting_and_Countering_Malicious_Uses_of_Claude_f8b326a6.md,ok,AI Safety/Detecting_and_Countering_Malicious_Uses_of_Claude_f8b326a6.md,confidence=medium
Diverse_carbon_dioxide_removal_approaches_could_reduce_impacts_on_the_energywaterland_system_-_Natur_48a120c4.md,ok,AI Safety/Diverse_carbon_dioxide_removal_approaches_could_reduce_impacts_on_the_energywaterland_system_-_Natur_48a120c4.md,confidence=low
Down_and_Out_in_the_Magic_Kingdom_-_Wikipedia_6391e26b.md,ok,AI Safety/Down_and_Out_in_the_Magic_Kingdom_-_Wikipedia_6391e26b.md,confidence=medium
Effective_Ventures_cd6d856a.md,ok,AI Risk Mitigation/Effective_Ventures_cd6d856a.md,confidence=medium
Elo_rating_system_-_Wikipedia_0240201a.md,ok,AI Safety/Elo_rating_system_-_Wikipedia_0240201a.md,confidence=low
Evals_ce1ac4cb.md,ok,Evaluation/Evals_ce1ac4cb.md,confidence=medium
Evaluating_frontier_AI_RD_capabilities_of_language_model_agents_against_human_experts_b1af10e6.md,ok,Evaluation/Evaluating_frontier_AI_RD_capabilities_of_language_model_agents_against_human_experts_b1af10e6.md,confidence=high
Exclusive_New_Research_Shows_AI_Strategically_Lying_6f6ffce8.md,ok,AI Safety/Exclusive_New_Research_Shows_AI_Strategically_Lying_6f6ffce8.md,confidence=low
Expansion_microscopy_-_Wikipedia_42b2892c.md,ok,AI Safety/Expansion_microscopy_-_Wikipedia_42b2892c.md,confidence=low
External_validity_-_Wikipedia_c3e552b8.md,ok,AI Safety/External_validity_-_Wikipedia_c3e552b8.md,confidence=low
Externality_-_Wikipedia_9530d9ad.md,ok,AI Safety/Externality_-_Wikipedia_9530d9ad.md,confidence=low
FMF_Announces_First-Of-Its-Kind_Information-Sharing_Agreement_-_Frontier_Model_Forum_0426045b.md,ok,AI Safety/FMF_Announces_First-Of-Its-Kind_Information-Sharing_Agreement_-_Frontier_Model_Forum_0426045b.md,confidence=low
Five_Eyes_-_Wikipedia_090eb4e2.md,ok,AI Safety/Five_Eyes_-_Wikipedia_090eb4e2.md,confidence=low
Forecasting_Frontier_Language_Model_Agent_Capabilities_Apollo_Research_21834e33.md,ok,Evaluation/Forecasting_Frontier_Language_Model_Agent_Capabilities_Apollo_Research_21834e33.md,confidence=medium
Forecasting_Transformative_AI_Part_1_What_Kind_of_AI_d1735aca.md,ok,AI Safety/Forecasting_Transformative_AI_Part_1_What_Kind_of_AI_d1735aca.md,confidence=medium
Four_Asian_Tigers_-_Wikipedia_0a522b8a.md,ok,AI Safety/Four_Asian_Tigers_-_Wikipedia_0a522b8a.md,confidence=low
Friedrich_Hayek_-_Wikipedia_25ec0df2.md,ok,AI Safety/Friedrich_Hayek_-_Wikipedia_25ec0df2.md,confidence=low
Frontier_Models_are_Capable_of_In-Context_Scheming_Apollo_Research_f8ac8583.md,ok,Evaluation/Frontier_Models_are_Capable_of_In-Context_Scheming_Apollo_Research_f8ac8583.md,confidence=high
Future_of_AI_Course_BlueDot_Impact_100477de.md,ok,AI Safety/Future_of_AI_Course_BlueDot_Impact_100477de.md,confidence=low
Future_of_AI_Course_BlueDot_Impact_a9f3387d.md,ok,AI Safety/Future_of_AI_Course_BlueDot_Impact_a9f3387d.md,confidence=low
Future_of_AI_Course_BlueDot_Impact_cbe94e84.md,ok,AI Safety/Future_of_AI_Course_BlueDot_Impact_cbe94e84.md,confidence=low
Gene_drives_gaining_speed_-_Nature_Reviews_Genetics_37b3bbea.md,ok,AI Safety/Gene_drives_gaining_speed_-_Nature_Reviews_Genetics_37b3bbea.md,confidence=low
Getting_Closer_to_AI_Complete_Question_Answering_A_Set_of_Prerequisite_Real_Tasks_d03c202c.md,ok,AI Safety/Getting_Closer_to_AI_Complete_Question_Answering_A_Set_of_Prerequisite_Real_Tasks_d03c202c.md,confidence=low
GiveWell_10b8709a.md,ok,AI Safety/GiveWell_10b8709a.md,confidence=low
Going_on_a_vacation_takes_longer_than_Going_for_a_walk_A_Study_of_Temporal_Commonsense_Understanding_ab7380ce.md,ok,AI Safety/Going_on_a_vacation_takes_longer_than_Going_for_a_walk_A_Study_of_Temporal_Commonsense_Understanding_ab7380ce.md,confidence=low
Goodharts_law_-_Wikipedia_d425846f.md,ok,AI Safety/Goodharts_law_-_Wikipedia_d425846f.md,confidence=low
Google_-_Wikipedia_500fb8cf.md,ok,AI Safety/Google_-_Wikipedia_500fb8cf.md,confidence=low
Google_Security_Keys_Neutralized_Employee_Phishing_34af5dff.md,ok,AI Safety/Google_Security_Keys_Neutralized_Employee_Phishing_34af5dff.md,confidence=low
Google_pauses_AI-generated_images_of_people_after_ethnicity_criticism_e22a3751.md,ok,AI Safety/Google_pauses_AI-generated_images_of_people_after_ethnicity_criticism_e22a3751.md,confidence=low
Googles_AI_Beats_Legendary_Go_Player_c87361a1.md,ok,AI Safety/Googles_AI_Beats_Legendary_Go_Player_c87361a1.md,confidence=low
Grant_Ellison_-_Publications_863807a9.md,ok,Evaluation/Grant_Ellison_-_Publications_863807a9.md,confidence=medium
Green_Revolution_-_Wikipedia_1d22240b.md,ok,AI Safety/Green_Revolution_-_Wikipedia_1d22240b.md,confidence=low
Harry_Mayne_1493ede0.md,ok,Evaluation/Harry_Mayne_1493ede0.md,confidence=medium
Henry_Alexander_Bradley_-_Publications_81f9abaa.md,ok,Evaluation/Henry_Alexander_Bradley_-_Publications_81f9abaa.md,confidence=medium
HiLumi_LHC_CERNs_full-scale_test_stand_ente..._f5bf7d31.md,ok,AI Safety/HiLumi_LHC_CERNs_full-scale_test_stand_ente..._f5bf7d31.md,confidence=low
High-Low_Frequency_Detectors_69e34f7f.md,ok,AI Safety/High-Low_Frequency_Detectors_69e34f7f.md,confidence=low
Highly_accurate_protein_structure_prediction_with_AlphaFold_-_Nature_a06e223c.md,ok,AI Safety/Highly_accurate_protein_structure_prediction_with_AlphaFold_-_Nature_a06e223c.md,confidence=low
HodgkinHuxley_model_-_Wikipedia_cbacdc23.md,ok,AI Safety/HodgkinHuxley_model_-_Wikipedia_cbacdc23.md,confidence=low
Home_2f5a1bdc.md,ok,AI Safety/Home_2f5a1bdc.md,confidence=medium
Home_Anthropic_138dc8d9.md,ok,AI Safety/Home_Anthropic_138dc8d9.md,confidence=medium
How_AI_Labs_Can_Safeguard_Model_Weights_f80e302b.md,ok,AI Safety/How_AI_Labs_Can_Safeguard_Model_Weights_f80e302b.md,confidence=low
How_OpenAIs_Sam_Altman_Is_Thinking_About_AGI_and_Superintelligence_in_2025_c4d0c5c3.md,ok,AI Safety/How_OpenAIs_Sam_Altman_Is_Thinking_About_AGI_and_Superintelligence_in_2025_c4d0c5c3.md,confidence=high
How_to_make_the_best_of_the_most_important_century_8d776ced.md,ok,AI Safety/How_to_make_the_best_of_the_most_important_century_8d776ced.md,confidence=low
I._From_GPT-4_to_AGI_Counting_the_OOMs_-_SITUATIONAL_AWARENESS_93687572.md,ok,AI Safety/I._From_GPT-4_to_AGI_Counting_the_OOMs_-_SITUATIONAL_AWARENESS_93687572.md,confidence=medium
IBMs_Watson_gave_unsafe_recommendations_for_treating_cancer_f6b8efde.md,ok,AI Safety/IBMs_Watson_gave_unsafe_recommendations_for_treating_cancer_f6b8efde.md,confidence=low
II._From_AGI_to_Superintelligence_the_Intelligence_Explosion_-_SITUATIONAL_AWARENESS_1744d725.md,ok,AI Safety/II._From_AGI_to_Superintelligence_the_Intelligence_Explosion_-_SITUATIONAL_AWARENESS_1744d725.md,confidence=high
IIIb._Lock_Down_the_Labs_Security_for_AGI_-_SITUATIONAL_AWARENESS_f1d77867.md,ok,AI Safety/IIIb._Lock_Down_the_Labs_Security_for_AGI_-_SITUATIONAL_AWARENESS_f1d77867.md,confidence=medium
IIId._The_Free_World_Must_Prevail_-_SITUATIONAL_AWARENESS_ca7b1bb1.md,ok,AI Safety/IIId._The_Free_World_Must_Prevail_-_SITUATIONAL_AWARENESS_ca7b1bb1.md,confidence=medium
If-Then_Commitments_for_AI_Risk_Reduction_420ae078.md,ok,AI Safety/If-Then_Commitments_for_AI_Risk_Reduction_420ae078.md,confidence=low
If_Anyone_Builds_It_Everyone_Dies_87ba691e.md,ok,AI Safety/If_Anyone_Builds_It_Everyone_Dies_87ba691e.md,confidence=high
Import_AI_a098b9cd.md,ok,AI Risk Mitigation/Import_AI_a098b9cd.md,confidence=medium
In_the_AI_science_boom_beware_your_results_are_only_as_good_as_your_data_aa0d4625.md,ok,AI Safety/In_the_AI_science_boom_beware_your_results_are_only_as_good_as_your_data_aa0d4625.md,confidence=low
Increasing_the_Policy_Readiness_of_Ideas_Tom_Kalil_9daa4574.md,ok,AI Safety/Increasing_the_Policy_Readiness_of_Ideas_Tom_Kalil_9daa4574.md,confidence=low
Inhibition_of_IL-11_signalling_extends_mammalian_healthspan_and_lifespan_-_Nature_4dbe3a8d.md,ok,AI Safety/Inhibition_of_IL-11_signalling_extends_mammalian_healthspan_and_lifespan_-_Nature_4dbe3a8d.md,confidence=low
Inside_the_hunt_for_new_physics_at_the_worlds_largest_particle_collider_185a25b3.md,ok,AI Safety/Inside_the_hunt_for_new_physics_at_the_worlds_largest_particle_collider_185a25b3.md,confidence=low
Inspect_bfb7a89d.md,ok,Evaluation/Inspect_bfb7a89d.md,confidence=high
Institute_for_Disease_Modeling_-_Wikipedia_ef22656c.md,ok,AI Safety/Institute_for_Disease_Modeling_-_Wikipedia_ef22656c.md,confidence=low
Intel_-_Wikipedia_d0c6776a.md,ok,AI Safety/Intel_-_Wikipedia_d0c6776a.md,confidence=low
International_AI_Safety_Report_a7f7f227.md,ok,AI Safety/International_AI_Safety_Report_a7f7f227.md,confidence=low
Introducing_computer_use_a_new_Claude_3.5_Sonnet_and_Claude_3.5_Haiku_03af6638.md,ok,AI Safety/Introducing_computer_use_a_new_Claude_3.5_Sonnet_and_Claude_3.5_Haiku_03af6638.md,confidence=low
Introducing_the_Anthropic_Fellows_Program_for_AI_Safety_Research_3a87facf.md,ok,AI Safety/Introducing_the_Anthropic_Fellows_Program_for_AI_Safety_Research_3a87facf.md,confidence=low
Introducing_the_Frontier_Safety_Framework_4380930c.md,ok,AI Safety/Introducing_the_Frontier_Safety_Framework_4380930c.md,confidence=medium
Introduction_to_Mechanistic_Interpretability_0aa60341.md,ok,AI Safety/Introduction_to_Mechanistic_Interpretability_0aa60341.md,confidence=medium
Is_Democracy_a_Fad_6c2db200.md,ok,AI Safety/Is_Democracy_a_Fad_6c2db200.md,confidence=low
Jailbreak_tricks_Discords_new_chatbot_into_sharing_napalm_and_meth_instructions_TechCrunch_ec6b1403.md,ok,AI Safety/Jailbreak_tricks_Discords_new_chatbot_into_sharing_napalm_and_meth_instructions_TechCrunch_ec6b1403.md,confidence=low
Jason_Matheny_-_Profile_8006f865.md,ok,AI Safety/Jason_Matheny_-_Profile_8006f865.md,confidence=low
Jeffrey_Lee_faf2d73f.md,ok,AI Safety/Jeffrey_Lee_faf2d73f.md,confidence=low
John_D._Morley_b9ea4300.md,ok,AI Safety/John_D._Morley_b9ea4300.md,confidence=low
John_Schulman_OpenAI_Cofounder_-_Reasoning_RLHF_Plan_for_2027_AGI_edd8fc6e.md,ok,AI Risk Mitigation/John_Schulman_OpenAI_Cofounder_-_Reasoning_RLHF_Plan_for_2027_AGI_edd8fc6e.md,confidence=high
Jordan_Despanie_-_Publications_994e2c89.md,ok,Evaluation/Jordan_Despanie_-_Publications_994e2c89.md,confidence=medium
