folder,filename,ext,title,concepts,tags,source_url,body_excerpt
01_Risks-and-Failure-Modes/01a_Existential-Risk,Artificial_Intelligence_Values_and_Alignment_812bd0cd.md,.md,"Artificial Intelligence, Values and Alignment",,"DeepMind, Google",https://deepmind.google/discover/blog/artificial-intelligence-values-and-alignment,The question of âvalue alignmentâ centres upon how to ensure that AI systems are properly aligned with human values. It can be broken down into two parts. The first part is technical and focuses on ho
01_Risks-and-Failure-Modes/01a_Existential-Risk,Assurance_contract_-_Wikipedia_05c9efe6.md,.md,Assurance contract - Wikipedia,,,https://en.wikipedia.org/wiki/Assurance_contract,"An **assurance contract**, also known as a **provision point mechanism**, or **crowdaction**, [1] is a [game-theoretic mechanism](https://en.wikipedia.org/wiki/Mechanism_design)that facilitates the vo"
01_Risks-and-Failure-Modes/01a_Existential-Risk,Asynchronous_Methods_for_Deep_Reinforcement_Learning_172f3efa.md,.md,Asynchronous Methods for Deep Reinforcement Learning,,,http://proceedings.mlr.press/v48/mniha16.html?ref=https://githubhelp.com,[[edit](https://github.com/mlresearch/v48/edit/gh-pages/_posts/2016-06-11-mniha16.md)] # Asynchronous Methods for Deep Reinforcement Learning *Proceedings of The 33rd International Conference on Machi
01_Risks-and-Failure-Modes/01a_Existential-Risk,Atoms_for_Peace_-_Wikipedia_5e142ed9.md,.md,Atoms for Peace - Wikipedia,,,https://en.wikipedia.org/wiki/Atoms_for_Peace,"| Date | December 8, 1953 | |---|---| | Location | | [Arms control](https://en.wikipedia.org/wiki/Arms_control)[Dwight Eisenhower](https://en.wikipedia.org/wiki/Dwight_Eisenhower)[www](https://www.eis"
01_Risks-and-Failure-Modes/01a_Existential-Risk,Baruch_Plan_-_Wikipedia_20604dc4.md,.md,Baruch Plan - Wikipedia,,,https://en.wikipedia.org/wiki/Baruch_Plan,The **Baruch Plan** was a proposal put forward by the [United States government](https://en.wikipedia.org/wiki/United_States_government) on 14 June 1946 to the [United Nations Atomic Energy Commission
01_Risks-and-Failure-Modes/01a_Existential-Risk,CBPAI_522ed094.md,.md,CBPAI,Existential Risk & Superintelligence,"governance, superintelligence, catastrophic-risk",https://www.cbpai.org/,"**Coalition for a** **Baruch Plan for AI** **A declared race to Superintelligence is bringing humanity to a three-way fork: catastrophic loss of control, authoritarian capture, or humanity's triumph t"
01_Risks-and-Failure-Modes/01a_Existential-Risk,CLARITY_-_Wikipedia_23c62aeb.md,.md,CLARITY - Wikipedia,,,https://en.wikipedia.org/wiki/CLARITY,"**CLARITY** [1] is a method of making tissue transparent using [acrylamide](https://en.wikipedia.org/wiki/Acrylamide)-based hydrogels built from within, and linked to, the tissue, and as defined in th"
01_Risks-and-Failure-Modes/01a_Existential-Risk,CS_188_Fall_2024_968558fc.md,.md,CS 188 Fall 2024,,,https://inst.eecs.berkeley.edu/~cs188/fa24,"This site is outdated! For the latest content, please visit the [Spring 2025 website](https://inst.eecs.berkeley.edu/~cs188/sp25/) | Wk. | Date | Lecture | Readings | Discussion | Homework | Project |"
01_Risks-and-Failure-Modes/01a_Existential-Risk,Coherence_Arguments_Imply_A_Force_For_Goal_Directed_Behavior_e12fdd1d.md,.md,Coherence Arguments Imply A Force For Goal Directed Behavior,,,https://www.lesswrong.com/posts/DkcdXsP56g9kXyBdq/coherence-arguments-imply-a-force-for-go,"[Epistemic status: my current view, but I haven’t read all the stuff on this topic even in the LessWrong community, let alone more broadly.] There is a line of thought that says that advanced AI will "
01_Risks-and-Failure-Modes/01a_Existential-Risk,Confidential_computing_-_Wikipedia_8466b72c.md,.md,Confidential computing - Wikipedia,,,https://en.wikipedia.org/wiki/Confidential_computing,**Confidential computing** is a security and [privacy-enhancing computational technique](https://en.wikipedia.org/wiki/Privacy-enhancing_technologies) focused on protecting [data in use](https://en.wi
01_Risks-and-Failure-Modes/01a_Existential-Risk,Constitutional_Classifiers_Defending_against_universal_jailbreaks_fe7661a0.md,.md,Constitutional Classifiers: Defending against universal jailbreaks,,"Anthropic, jailbreaking",https://www.anthropic.com/research/constitutional-classifiers,*A new paper from the Anthropic Safeguards Research Team describes a method that defends AI models against universal jailbreaks. A prototype version of the method was robust to thousands of hours of h
01_Risks-and-Failure-Modes/01a_Existential-Risk,Cooperative_AI_Contact_92f721d2.md,.md,Cooperative AI – Contact,,,https://www.cooperativeai.com/contact,"**Feedback, complaints and serious concerns** At CAIF we try hard to get things right the first time, but we know this won’t always be the case. When we make a mistake, or if something has gone wrong,"
01_Risks-and-Failure-Modes/01a_Existential-Risk,Cruel_and_unusual_punishment_-_Wikipedia_70a00794.md,.md,Cruel and unusual punishment - Wikipedia,,,https://en.wikipedia.org/wiki/Cruel_and_unusual_punishment,| |---| [Verdict](https://en.wikipedia.org/wiki/Verdict) [Sentencing](https://en.wikipedia.org/wiki/Sentence_(law)) '**Cruel and unusual punishment**' is a phrase in [common law](https://en.wikipedia.
01_Risks-and-Failure-Modes/01a_Existential-Risk,Dario Amodei — Machines of Loving Grace.md,.md,Dario Amodei — Machines of Loving Grace,,,https://www.darioamodei.com/essay/machines-of-loving-grace,"I think and talk a lot about the risks of powerful AI. The company I’m the CEO of, Anthropic, does a lot of research on how to reduce these risks. Because of this, people sometimes draw the conclusion"
01_Risks-and-Failure-Modes/01a_Existential-Risk,Deep_TAMER_Interactive_Agent_Shaping_in_High-Dimensional_State_Spaces_1a8f076f.md,.md,Deep TAMER: Interactive Agent Shaping in High-Dimensional State Spaces,,autonomous-systems,https://ojs.aaai.org/index.php/AAAI/article/view/11485,## DOI: [https://doi.org/10.1609/aaai.v32i1.11485](https://doi.org/10.1609/aaai.v32i1.11485) ## Abstract While recent advances in deep reinforcement learning have allowed autonomous learning agents to
01_Risks-and-Failure-Modes/01a_Existential-Risk,Deep_Utopia_0e4e1bd3.md,.md,Deep Utopia,Existential Risk & Superintelligence,superintelligence,https://nickbostrom.com/deep-utopia,"Bostrom’s previous book, *Superintelligence: Paths, Dangers, Strategies* (OUP, 2014) sparked a global conversation on AI that continues to this day. That book, which became a surprise New York Times b"
01_Risks-and-Failure-Modes/01a_Existential-Risk,Detecting_and_Countering_Malicious_Uses_of_Claude_f8b326a6.md,.md,Detecting and Countering Malicious Uses of Claude,,"Anthropic, adversarial",https://www.anthropic.com/news/detecting-and-countering-malicious-uses-of-claude-march-202,We are committed to preventing misuse of our Claude models by adversarial actors while maintaining their utility for legitimate users. While our safety measures successfully prevent many harmful outpu
01_Risks-and-Failure-Modes/01a_Existential-Risk,Diverse_carbon_dioxide_removal_approaches_could_reduce_impacts_on_the_energywaterland_system_-_Natur_48a120c4.md,.md,Diverse carbon dioxide removal approaches could reduce impacts on the energy–water–land system - Nature Climate Change,,,https://www.nature.com/articles/s41558-023-01604-9,"## Abstract Carbon dioxide removal (CDR) is a critical tool in all plans to limit warming to below 1.5 °C, but only a few CDR pathways have been incorporated into integrated assessment models that int"
01_Risks-and-Failure-Modes/01a_Existential-Risk,Down_and_Out_in_the_Magic_Kingdom_-_Wikipedia_6391e26b.md,.md,Down and Out in the Magic Kingdom - Wikipedia,,,https://en.wikipedia.org/wiki/Down_and_Out_in_the_Magic_Kingdom,"| Author | | |---| [Science fiction](https://en.wikipedia.org/wiki/Science_fiction),[Social Science Fiction](https://en.wikipedia.org/wiki/Social_Science_Fiction),[Cyberprep](https://en.wikipedia.org/"
01_Risks-and-Failure-Modes/01a_Existential-Risk,Draft_Report_On_AI_Timelines_8c00ba40.md,.md,Draft Report On AI Timelines,Existential Risk & Superintelligence,Google,https://www.lesswrong.com/posts/KrJfoZzpSDpnrv9va/draft-report-on-ai-timelines,"Hi all, I've been working on some AI forecasting research and have prepared a draft report on timelines to transformative AI. I would love feedback from this community, so I've made the report viewabl"
01_Risks-and-Failure-Modes/01a_Existential-Risk,Executive summary.md,.md,Executive summary,,,https://keepthefuturehuman.ai/essay/docs/executive-summary,"A high-level overview of the essay. If you're short on time, get all the main points in just 10 minutes. Save the whole paper: [Download PDF](https://keepthefuturehuman.ai/wp-content/uploads/2025/03/K"
01_Risks-and-Failure-Modes/01a_Existential-Risk,Expansion_microscopy_-_Wikipedia_42b2892c.md,.md,Expansion microscopy - Wikipedia,,,https://en.wikipedia.org/wiki/Expansion_microscopy,**Expansion microscopy** (ExM) is a sample preparation tool for biological samples that allows investigators to identify small structures by expanding them using a [polymer](https://en.wikipedia.org/w
01_Risks-and-Failure-Modes/01a_Existential-Risk,External_validity_-_Wikipedia_c3e552b8.md,.md,External validity - Wikipedia,,,https://en.wikipedia.org/wiki/External_validity,"| Field | Research methods, Statistics, Experimental design | |---| **External validity** is the validity of applying the conclusions of a scientific study outside the context of that study. [1] In ot"
01_Risks-and-Failure-Modes/01a_Existential-Risk,Forecasting_Transformative_AI_Part_1_What_Kind_of_AI_d1735aca.md,.md,"Forecasting Transformative AI, Part 1: What Kind of AI?",Existential Risk & Superintelligence,,https://www.cold-takes.com/transformative-ai-timelines-part-1-of-4-what-kind-of-ai,This is the first of four posts summarizing hundreds of pages of technical reports focused almost entirely on forecasting one number. It's the single number I'd probably most value having a good estim
01_Risks-and-Failure-Modes/01a_Existential-Risk,Friedrich_Hayek_-_Wikipedia_25ec0df2.md,.md,Friedrich Hayek - Wikipedia,,,https://en.wikipedia.org/wiki/Friedrich_Hayek,"Friedrich Hayek | | |---|---| | Born | Friedrich August von Hayek 8 May 1899 | | Died | 23 March 1992 | (aged 92) | Citizenship | | | Spouses | | | Children | 3, including | [Acton](https://en.wikiped"
01_Risks-and-Failure-Modes/01a_Existential-Risk,Google_pauses_AI-generated_images_of_people_after_ethnicity_criticism_e22a3751.md,.md,Google pauses AI-generated images of people after ethnicity criticism,,Google,https://www.theguardian.com/technology/2024/feb/22/google-pauses-ai-generated-images-of-pe,Google has put a temporary block on its new artificial intelligence model producing images of people after it portrayed German second world war soldiers and Vikings as people of colour. The tech compa
01_Risks-and-Failure-Modes/01a_Existential-Risk,Googles_AI_Beats_Legendary_Go_Player_c87361a1.md,.md,Google's AI Beats Legendary Go Player,,DeepMind,https://time.com/4252312/googles-artificial-intelligence-beats-legendary-go-player,"Google’s artificial intelligence program AlphaGo, a product of the company’s DeepMind unit, has just marked a [significant achievement](http://www.theverge.com/2016/3/9/11184362/google-alphago-go-deep"
01_Risks-and-Failure-Modes/01a_Existential-Risk,Green_Revolution_-_Wikipedia_1d22240b.md,.md,Green Revolution - Wikipedia,,,https://en.wikipedia.org/wiki/Green_Revolution,"| |---| [Agriculture portal](https://en.wikipedia.org/wiki/Portal:Agriculture) | |---| The **Green Revolution**, or the **Third Agricultural Revolution**, was a period during which technology transfer"
01_Risks-and-Failure-Modes/01a_Existential-Risk,HodgkinHuxley_model_-_Wikipedia_cbacdc23.md,.md,Hodgkin–Huxley model - Wikipedia,,,https://en.wikipedia.org/wiki/Hodgkin%E2%80%93Huxley_model,"The **Hodgkin–Huxley model**, or **conductance-based model**, is a [mathematical model](https://en.wikipedia.org/wiki/Mathematical_model) that describes how [action potentials](https://en.wikipedia.or"
01_Risks-and-Failure-Modes/01a_Existential-Risk,How_Could_We_Know_That_An_AGI_System_Will_Have_Good_726c5d45.md,.md,How Could We Know That An AGI System Will Have Good,Existential Risk & Superintelligence,,https://www.lesswrong.com/posts/iDFTmb8HSGtL4zTvf/how-could-we-know-that-an-agi-system-wil,"(Note: This was languishing in a drafts folder for a while, and probably isn't quite right in various ways. I'm posting it because I expect it's better to share flawed thoughts than to sit on the post"
01_Risks-and-Failure-Modes/01a_Existential-Risk,How_OpenAIs_Sam_Altman_Is_Thinking_About_AGI_and_Superintelligence_in_2025_c4d0c5c3.md,.md,How OpenAI’s Sam Altman Is Thinking About AGI and Superintelligence in 2025,Existential Risk & Superintelligence,"superintelligence, AGI, OpenAI",https://time.com/7205596/sam-altman-superintelligence-agi,OpenAI CEO Sam Altman recently published a [post](https://blog.samaltman.com/reflections) on his personal blog reflecting on AI progress and his predictions for how the technology will impact humanity
01_Risks-and-Failure-Modes/01a_Existential-Risk,How_to_make_the_best_of_the_most_important_century_8d776ced.md,.md,How to make the best of the most important century?,,,https://www.cold-takes.com/making-the-best-of-the-most-important-century,"Previously in the ['most important century' series](https://www.cold-takes.com/roadmap-for-the-most-important-century-series/), I've argued that there's a high probability 1 that the coming decades wi"
01_Risks-and-Failure-Modes/01a_Existential-Risk,I._From_GPT-4_to_AGI_Counting_the_OOMs_-_SITUATIONAL_AWARENESS_93687572.md,.md,I. From GPT-4 to AGI: Counting the OOMs - SITUATIONAL AWARENESS,Existential Risk & Superintelligence,AGI,https://situational-awareness.ai/from-gpt-4-to-agi,"**AGI by 2027 is strikingly plausible. GPT-2 to GPT-4 took us from ~preschooler to ~smart high-schooler abilities in 4 years. Tracing trendlines in compute (~0.5 orders of magnitude or OOMs/year), alg"
01_Risks-and-Failure-Modes/01a_Existential-Risk,IBMs_Watson_gave_unsafe_recommendations_for_treating_cancer_f6b8efde.md,.md,IBM’s Watson gave unsafe recommendations for treating cancer,,,https://www.theverge.com/2018/7/26/17619382/ibms-watson-cancer-ai-healthcare-science,"IBM’s Watson supercomputer gave unsafe recommendations for treating cancer patients, [according to documents reviewed by Stat](https://www.statnews.com/2018/07/25/ibm-watson-recommended-unsafe-incorre"
01_Risks-and-Failure-Modes/01a_Existential-Risk,"IF ANYONE BUILDS IT,EVERYONE DIES.md",.md,"IF ANYONE BUILDS IT,EVERYONE DIES",,,https://ifanyonebuildsit.com/,## Superhuman AI threatens human extinction. But it's not too late to change course. [![Book cover](https://ifanyonebuildsit.com/_next/image?url=%2Fprivate%2Fmedia-resources%2FIABIED%2520Creatives%252
01_Risks-and-Failure-Modes/01a_Existential-Risk,II._From_AGI_to_Superintelligence_the_Intelligence_Explosion_-_SITUATIONAL_AWARENESS_1744d725.md,.md,II. From AGI to Superintelligence: the Intelligence Explosion - SITUATIONAL AWARENESS,Existential Risk & Superintelligence,"superintelligence, AGI, intelligence-explosion",https://situational-awareness.ai/from-agi-to-superintelligence,"**AI progress won’t stop at human-level. Hundreds of millions of AGIs could automate AI research, compressing a decade of algorithmic progress (5+ OOMs) into ≤1 year. We would rapidly go from human-le"
01_Risks-and-Failure-Modes/01a_Existential-Risk,IIIb._Lock_Down_the_Labs_Security_for_AGI_-_SITUATIONAL_AWARENESS_f1d77867.md,.md,IIIb. Lock Down the Labs: Security for AGI - SITUATIONAL AWARENESS,Existential Risk & Superintelligence,AGI,https://situational-awareness.ai/lock-down-the-labs,"**The nation’s leading AI labs treat security as an afterthought. Currently, they’re basically handing the key secrets for AGI to the CCP on a silver platter. Securing the AGI secrets and weights agai"
01_Risks-and-Failure-Modes/01a_Existential-Risk,IIId._The_Free_World_Must_Prevail_-_SITUATIONAL_AWARENESS_ca7b1bb1.md,.md,IIId. The Free World Must Prevail - SITUATIONAL AWARENESS,Existential Risk & Superintelligence,superintelligence,https://situational-awareness.ai/the-free-world-must-prevail,"**Superintelligence will give a decisive economic and military advantage. China isn’t at all out of the game yet. In the race to AGI, the free world’s very survival will be at stake. Can we maintain o"
01_Risks-and-Failure-Modes/01a_Existential-Risk,If-Then_Commitments_for_AI_Risk_Reduction_420ae078.md,.md,If-Then Commitments for AI Risk Reduction,,,https://carnegieendowment.org/research/2024/09/if-then-commitments-for-ai-risk-reduction?l,[AI Has Been Surprising for Years](https://carnegieendowment.org/research/2025/01/ai-has-been-surprising-for-years) Holden Karnofsky If-then commitments are an emerging framework for preparing for ris
01_Risks-and-Failure-Modes/01a_Existential-Risk,If_Anyone_Builds_It_Everyone_Dies_87ba691e.md,.md,"If Anyone Builds It, Everyone Dies",Existential Risk & Superintelligence,"superintelligence, extinction",https://ifanyonebuildsit.com/media-kit,"Logos, book covers, author bios, quotes, and background images for use in articles, reviews, and coverage of *If Anyone Builds It, Everyone Dies*. **Eliezer Yudkowsky** is a founding researcher of the"
01_Risks-and-Failure-Modes/01a_Existential-Risk,In_the_AI_science_boom_beware_your_results_are_only_as_good_as_your_data_aa0d4625.md,.md,"In the AI science boom, beware: your results are only as good as your data",,,https://www.nature.com/articles/d41586-024-00306-2,"## Access options Access Nature and 54 other Nature Portfolio journals Get Nature+, our best-value online-access subscription 27,99 € / 30 days cancel any time Subscribe to this journal Receive 51 pri"
01_Risks-and-Failure-Modes/01a_Existential-Risk,Inside_the_hunt_for_new_physics_at_the_worlds_largest_particle_collider_185a25b3.md,.md,Inside the hunt for new physics at the world’s largest particle collider,,,https://www.technologyreview.com/2024/02/20/1088002/higgs-boson-physics-particle-collider-,"In 1977, Ray and Charles Eames released a remarkable film that, over the course of just nine minutes, spanned the limits of human knowledge. [ Powers of Ten](https://www.youtube.com/watch?v=0fKBhvDjuy"
01_Risks-and-Failure-Modes/01a_Existential-Risk,Intel_-_Wikipedia_d0c6776a.md,.md,Intel - Wikipedia,,,https://en.wikipedia.org/wiki/Intel,| Intel | | | Formerly | NM Electronics (1968) | Company type | | [Semiconductors](https://en.wikipedia.org/wiki/Semiconductor_industry)[Total assets](https://en.wikipedia.org/wiki/Asset) [Total equit
01_Risks-and-Failure-Modes/01a_Existential-Risk,International AI Safety Report 2026.pdf,.pdf,International AI Safety Report 2026,,,,(PDF)
01_Risks-and-Failure-Modes/01a_Existential-Risk,It_Looks_Like_You_Re_Trying_To_Take_Over_The_World_ba1b2e50.md,.md,It Looks Like You're Trying To Take Over The World,Existential Risk & Superintelligence,,https://www.lesswrong.com/posts/a5e9arCnbDac9Doig/it-looks-like-you-re-trying-to-take-over,This story was originally posted as a response tothis thread. It might help to imagine a hard takeoff scenario using only known sorts of NN &scaling effects... In A.D. 20XX. Work was beginning. 'How a
01_Risks-and-Failure-Modes/01a_Existential-Risk,Keep_The_Future_Human_c11277d1.md,.md,Keep The Future Human,Existential Risk & Superintelligence,"superintelligence, AGI",https://keepthefuturehuman.ai/essay/docs/chapter-1,How we will respond to the prospect of smarter-than-human AI is the most pressing issue of our time. This essay provides a path forward. Save the whole paper: [Download PDF](https://keepthefuturehuman
01_Risks-and-Failure-Modes/01a_Existential-Risk,Keep_the_Future_Human__AnthonyAguirre__5March2025_b5deba72.pdf,.pdf,Keep the Future Human  AnthonyAguirre  5March2025,,,,(PDF)
01_Risks-and-Failure-Modes/01a_Existential-Risk,LESSWRONG_ee64d13a.md,.md,LESSWRONG,Existential Risk & Superintelligence,AGI,https://www.lesswrong.com/posts/FBoyR2rt29oYvazsE/high-reliability-orgs-and-ai-companies,Epistemic Effort: Rough notes from a shallow dive. Looked into this for a few hours. I didn't find a strong takeaway but think this is probably a useful jumping-off-point for further work. Most likely
01_Risks-and-Failure-Modes/01a_Existential-Risk,LESSWRONG_f945d0f4.md,.md,LESSWRONG,Existential Risk & Superintelligence,"AGI, DeepMind",https://www.lesswrong.com/posts/SbAgRYo8tkHwhd9Qx/deepmind-the-podcast-excerpts-on-agi,If you go back 10-12 years ago the whole notion of AGI was lunatic fringe.People [in the field] would literally just roll their eyes and just walk away. [...] [I had that happen] multiple times. I hav
01_Risks-and-Failure-Modes/01a_Existential-Risk,Landauers_principle_-_Wikipedia_1e0a71ad.md,.md,Landauer's principle - Wikipedia,,,https://en.wikipedia.org/wiki/Landauer%27s_principle,**Landauer's principle** is a [physical principle](https://en.wikipedia.org/wiki/Principle#Principle_as_scientific_law) pertaining to a lower [theoretical](https://en.wikipedia.org/wiki/Theoretical_ph
01_Risks-and-Failure-Modes/01a_Existential-Risk,Leveraging_Large_Language_Models_FOR_25696464.pdf,.pdf,Leveraging Large Language Models FOR,,,,(PDF)
01_Risks-and-Failure-Modes/01a_Existential-Risk,Lump_of_labour_fallacy_-_Wikipedia_be3ef851.md,.md,Lump of labour fallacy - Wikipedia,,,https://en.wikipedia.org/wiki/Lump_of_labour_fallacy,"In [economics](https://en.wikipedia.org/wiki/Economics), the **lump of labour fallacy** is the [misconception](https://en.wikipedia.org/wiki/List_of_common_misconceptions#Economics) that there is a fi"
01_Risks-and-Failure-Modes/01a_Existential-Risk,My recent lecture at Berkeley and a vision for a “CERN for AI”.md,.md,My recent lecture at Berkeley and a vision for a “CERN for AI”,,,https://milesbrundage.substack.com/p/my-recent-lecture-at-berkeley-and,"*Author’s note: Yes, this is very long. If you click on the thing on the left-hand side of the screen, it will show you where you are in the article. If you just want the gist of the idea, read “Short"
01_Risks-and-Failure-Modes/01a_Existential-Risk,Nobodys_on_the_ball_on_AGI_alignment_4021700d.md,.md,Nobody’s on the ball on AGI alignment,Existential Risk & Superintelligence,AGI,https://www.forourposterity.com/nobodys-on-the-ball-on-agi-alignment,"Observing from afar, it's easy to think there's an abundance of people working on AGI safety. Everyone on your timeline is fretting about AI risk, and it seems like there is a well-funded EA-industria"
01_Risks-and-Failure-Modes/01a_Existential-Risk,On scalable oversight with weak LLMs judging strong LLMs.pdf,.pdf,On scalable oversight with weak LLMs judging strong LLMs,,,,(PDF)
01_Risks-and-Failure-Modes/01a_Existential-Risk,Optogenetics_-_Wikipedia_2e1a262a.md,.md,Optogenetics - Wikipedia,,,https://en.wikipedia.org/wiki/Optogenetics,**Optogenetics** is a biological technique used to characterize and manipulate the activity of [neurons](https://en.wikipedia.org/wiki/Neurons) or other cell types with [light](https://en.wikipedia.or
01_Risks-and-Failure-Modes/01a_Existential-Risk,Paul_Christiano_471e48d9.md,.md,Paul Christiano,,"OpenAI, ARC",https://paulfchristiano.com/,I am the head of AI safety at the Center for AI Standards and Innovation within NIST. I previously ran the [Alignment Research Center](http://alignmentresearchcenter.org) and the language model alignm
01_Risks-and-Failure-Modes/01a_Existential-Risk,Privacy_Notice_80f27f3c.md,.md,Privacy Notice,,,https://epoch.ai/privacy,"This Privacy Notice for Epoch Artificial Intelligence, Inc (â**we**,â â**us**,â or â**our**â), describes how and why we might access, collect, store, use, and/or share (â**process**â) your personal in"
01_Risks-and-Failure-Modes/01a_Existential-Risk,Quantum_tunnelling_-_Wikipedia_fd74ba02.md,.md,Quantum tunnelling - Wikipedia,,,https://en.wikipedia.org/wiki/Quantum_tunnelling,"| Part of a series of articles about | | |---| In physics, **quantum tunnelling**, **barrier penetration**, or simply **tunnelling** is a [quantum mechanical](https://en.wikipedia.org/wiki/Quantum_mec"
01_Risks-and-Failure-Modes/01a_Existential-Risk,Rights_and_Permissions_dd3789cd.md,.md,Rights and Permissions,,,https://www.rand.org/pubs/permissions.html,"RAND retains copyright to most of our published works. ## Permissions Permission is required from RAND to reproduce, or reuse in another form, any of its publications. All requests from publishers, in"
01_Risks-and-Failure-Modes/01a_Existential-Risk,Roth_v._United_States_-_Wikipedia_82972646.md,.md,Roth v. United States - Wikipedia,,,https://en.wikipedia.org/wiki/Roth_v._United_States,"| Roth v. United States | | |---|---| | Argued April 22, 1957 Decided June 24, 1957 | | | Full case name | David S. Alberts v. California | | Citations | 354 ) | [Obscenity](https://en.wikipedia.org/w"
01_Risks-and-Failure-Modes/01a_Existential-Risk,Secretary_of_State_speech_at_CogX_Festival_3ceb7a55.md,.md,Secretary of State speech at CogX Festival,,,https://www.gov.uk/government/speeches/secretary-of-state-speech-at-cogx-festival,Thank you and good evening CogX 2023! What an amazing celebration of the UK’s thriving tech sector we have had over the last few days. And my goodness do we have a huge amount to celebrate together. T
01_Risks-and-Failure-Modes/01a_Existential-Risk,Shutdown_resistance_in_reasoning_models_62f31ec4.md,.md,Shutdown resistance in reasoning models,,"shutdown-resistance, OpenAI",https://palisaderesearch.org/blog/shutdown-resistance,"We [recently discovered](https://x.com/PalisadeAI/status/1926084635903025621) concerning behavior in OpenAI’s reasoning models: When trying to complete a task, these models sometimes actively circumve"
01_Risks-and-Failure-Modes/01a_Existential-Risk,Six_Dimensions_Of_Operational_Adequacy_In_AGI_Projects_f8334cba.md,.md,Six Dimensions Of Operational Adequacy In AGI Projects,Existential Risk & Superintelligence,,https://www.lesswrong.com/posts/keiYkaeoLHoKK4LYA/six-dimensions-of-operational-adequacy-i,"Editor's note: The following is a lightly edited copy of a document written by Eliezer Yudkowsky in November 2017. Since this is a snapshot of Eliezer’s thinking at a specific time, we’ve sprinkled re"
01_Risks-and-Failure-Modes/01a_Existential-Risk,Specification_gaming_the_flip_side_of_AI_ingenuity_20cfc7f7.md,.md,Specification gaming: the flip side of AI ingenuity,,"DeepMind, Google",https://deepmind.google/discover/blog/specification-gaming-the-flip-side-of-ai-ingenuity,"At first sight, these kinds of examples may seem amusing but less interesting, and irrelevant to deploying agents in the real world, where there are no simulator bugs. However, the underlying problem "
