action,ai_score,confidence,filename,moved,new_folder,old_folder,risk_category,source_type,tags,wiki_concepts
skip_no_ai_signal,1,low,Construct_validity_-_Wikipedia_d940ad0b.md,yes,Evaluation,AI Safety,misalignment,blog_post,,RLHF & Its Limitations|Scalable Oversight|AI Evaluations & Benchmarks
applied,3,high,Cookie_Policy_1d4cbca5.md,yes,AI Risk Mitigation,AI Safety,structural,research_paper,Google|AGI,RLHF & Its Limitations
applied,14,medium,Core_Views_on_AI_Safety_When_Why_What_and_How_8c7fd668.md,yes,Evaluation,AI Safety,mistakes,blog_post,catastrophic-risk|Anthropic|OpenAI|interpretability|mechanistic-interpretability,RLHF & Its Limitations|Existential Risk & Superintelligence|AI Evaluations & Benchmarks
applied,14,medium,Core_Views_on_AI_Safety_When_Why_What_and_How_cbeac227.md,yes,Evaluation,AI Safety,mistakes,blog_post,catastrophic-risk|Anthropic|OpenAI|interpretability|mechanistic-interpretability,RLHF & Its Limitations|Existential Risk & Superintelligence|AI Evaluations & Benchmarks
applied,5,medium,Could_Artificial_Intelligence_Be_Misused_to_Plan_Biological_Attacks_fd68ea56.md,yes,Evaluation,AI Safety,misalignment,blog_post,red-teaming|bioweapons|regulation,AI Evaluations & Benchmarks|Scalable Oversight
skip_no_ai_signal,1,low,Countries_that_are_democracies_and_autocracies_a519aa06.md,yes,AI Risk Mitigation,AI Safety,misalignment,blog_post,,RLHF & Its Limitations
applied,10,medium,Dario_Amodei_Machines_of_Loving_Grace_caf0dd8e.md,yes,AI Risk Mitigation,AI Safety,misalignment,blog_post,governance|Anthropic|adversarial,Scalable Oversight|Existential Risk & Superintelligence
skip_no_ai_signal,1,low,Deep_Reinforcement_Learning_from_Human_Preferences_6168096f.md,yes,AI Risk Mitigation,AI Safety,misalignment,blog_post,,RLHF & Its Limitations|Scalable Oversight
skip_no_ai_signal,1,low,Defining_Insider_Threats_CISA_9afeb970.md,yes,AI Risk Mitigation,AI Safety,misuse,blog_post,cyber-offense,Scalable Oversight|Existential Risk & Superintelligence
applied,4,low,Elo_rating_system_-_Wikipedia_0240201a.md,yes,Evaluation,AI Safety,misalignment,blog_post,evaluations,RLHF & Its Limitations|AI Evaluations & Benchmarks
applied,9,medium,Exclusive_New_Research_Shows_AI_Strategically_Lying_6f6ffce8.md,yes,Evaluation,AI Safety,misalignment,blog_post,alignment-faking|deception|dangerous-capabilities|Anthropic|OpenAI,Alignment Faking & Scheming|AI Evaluations & Benchmarks
applied,3,low,Externality_-_Wikipedia_9530d9ad.md,yes,AI Risk Mitigation,AI Safety,misalignment,blog_post,,Scalable Oversight
applied,6,medium,FMF_Announces_First-Of-Its-Kind_Information-Sharing_Agreement_-_Frontier_Model_Forum_0426045b.md,yes,AI Risk Mitigation,AI Safety,misuse,blog_post,cyber-offense|CBRN|Anthropic|OpenAI|adversarial|jailbreaking,RLHF & Its Limitations
skip_no_ai_signal,1,low,Five_Eyes_-_Wikipedia_090eb4e2.md,yes,AI Risk Mitigation,AI Safety,misalignment,blog_post,debate,Scalable Oversight
applied,2,low,Four_Asian_Tigers_-_Wikipedia_0a522b8a.md,yes,AI Risk Mitigation,AI Safety,misalignment,blog_post,,RLHF & Its Limitations
skip_lowconf_noconcepts,2,low,Future_of_AI_Course_BlueDot_Impact_100477de.md,yes,AI Risk Mitigation,AI Safety,misalignment,educational,,
skip_lowconf_noconcepts,2,low,Future_of_AI_Course_BlueDot_Impact_a9f3387d.md,yes,AI Risk Mitigation,AI Safety,misalignment,educational,,
skip_lowconf_noconcepts,2,low,Future_of_AI_Course_BlueDot_Impact_cbe94e84.md,yes,AI Risk Mitigation,AI Safety,misalignment,educational,,
applied,2,low,Gene_drives_gaining_speed_-_Nature_Reviews_Genetics_37b3bbea.md,yes,Evaluation,AI Safety,misalignment,blog_post,,AI Evaluations & Benchmarks
applied,3,low,Getting_Closer_to_AI_Complete_Question_Answering_A_Set_of_Prerequisite_Real_Tasks_d03c202c.md,yes,AI Risk Mitigation,AI Safety,misalignment,blog_post,,Pretraining Data Filtering
skip_no_ai_signal,1,medium,GiveWell_10b8709a.md,yes,RSP,AI Safety,misalignment,blog_post,evaluations|RSP,RLHF & Its Limitations|AI Evaluations & Benchmarks|Responsible Scaling Policies
skip_no_ai_signal,1,low,Going_on_a_vacation_takes_longer_than_Going_for_a_walk_A_Study_of_Temporal_Commonsense_Understanding_ab7380ce.md,yes,Evaluation,AI Safety,misalignment,blog_post,,AI Evaluations & Benchmarks
applied,4,medium,Goodharts_law_-_Wikipedia_d425846f.md,yes,Evaluation,AI Safety,misalignment,blog_post,evaluations|regulation|extinction,Existential Risk & Superintelligence|AI Evaluations & Benchmarks
applied,14,medium,Google_-_Wikipedia_500fb8cf.md,yes,AI Risk Mitigation,AI Safety,misalignment,blog_post,autonomous-systems|Google,RLHF & Its Limitations|Agentic Misalignment
skip_no_ai_signal,1,medium,Google_Security_Keys_Neutralized_Employee_Phishing_34af5dff.md,yes,AI Risk Mitigation,AI Safety,misalignment,blog_post,Google|open-source,RLHF & Its Limitations
applied,2,low,HiLumi_LHC_CERNs_full-scale_test_stand_ente..._f5bf7d31.md,yes,Evaluation,AI Safety,misalignment,blog_post,,Existential Risk & Superintelligence|AI Evaluations & Benchmarks
applied,8,low,Highly_accurate_protein_structure_prediction_with_AlphaFold_-_Nature_a06e223c.md,yes,AI Risk Mitigation,AI Safety,misalignment,blog_post,,Scalable Oversight|Existential Risk & Superintelligence
applied,6,low,How_AI_Labs_Can_Safeguard_Model_Weights_f80e302b.md,yes,Evaluation,AI Safety,misalignment,blog_post,benchmarks,RLHF & Its Limitations|Existential Risk & Superintelligence|AI Evaluations & Benchmarks
skip_no_ai_signal,1,low,IBMs_Watson_gave_unsafe_recommendations_for_treating_cancer_f6b8efde.md,yes,AI Risk Mitigation,AI Safety,misalignment,blog_post,,RLHF & Its Limitations|Scalable Oversight
applied,2,medium,Increasing_the_Policy_Readiness_of_Ideas_Tom_Kalil_9daa4574.md,yes,RSP,AI Safety,misalignment,blog_post,RSP|governance|regulation,RLHF & Its Limitations|Scalable Oversight|Existential Risk & Superintelligence|AI Evaluations & Benchmarks|Responsible Scaling Policies
applied,2,low,Inhibition_of_IL-11_signalling_extends_mammalian_healthspan_and_lifespan_-_Nature_4dbe3a8d.md,yes,AI Risk Mitigation,AI Safety,misalignment,blog_post,regulation,RLHF & Its Limitations
skip_no_ai_signal,1,low,Institute_for_Disease_Modeling_-_Wikipedia_ef22656c.md,yes,RSP,AI Safety,misalignment,blog_post,open-source,Scalable Oversight|Responsible Scaling Policies
applied,7,medium,Introducing_computer_use_a_new_Claude_3.5_Sonnet_and_Claude_3.5_Haiku_03af6638.md,yes,RSP,AI Safety,misalignment,blog_post,evaluations|benchmarks|RSP|responsible-scaling|ASL|catastrophic-risk|agentic-AI|tool-use|autonomous-systems|Anthropic,Agentic Misalignment|AI Evaluations & Benchmarks|Responsible Scaling Policies
applied,6,high,Introducing_the_Anthropic_Fellows_Program_for_AI_Safety_Research_3a87facf.md,yes,RSP,AI Safety,misuse|misalignment,blog_post,deception|sleeper-agents|reward-modeling|scalable-oversight|evaluations|dangerous-capabilities|chain-of-thought|RSP|Anthropic|robustness,RLHF & Its Limitations|Scalable Oversight|Alignment Faking & Scheming|AI Evaluations & Benchmarks|Responsible Scaling Policies
applied,4,low,Is_Democracy_a_Fad_6c2db200.md,yes,AI Risk Mitigation,AI Safety,misalignment,blog_post,,RLHF & Its Limitations
applied,8,medium,Jailbreak_tricks_Discords_new_chatbot_into_sharing_napalm_and_meth_instructions_TechCrunch_ec6b1403.md,yes,RSP,AI Safety,misuse,blog_post,OpenAI|jailbreaking|prompt-injection,RLHF & Its Limitations|Existential Risk & Superintelligence|Responsible Scaling Policies
applied,2,low,Jason_Matheny_-_Profile_8006f865.md,yes,AI Risk Mitigation,AI Safety,misalignment,blog_post,,RLHF & Its Limitations
applied,5,low,KullbackLeibler_divergence_-_Wikipedia_f9bd8e99.md,yes,Evaluation,AI Safety,misalignment,blog_post,,AI Evaluations & Benchmarks
applied,5,medium,LAB-Bench_Measuring_Capabilities_of_Language_Models_for_Biology_Research_FutureHouse_71d8629b.md,yes,Evaluation,AI Safety,misalignment,blog_post,evaluations|benchmarks|tool-use,Scalable Oversight|Agentic Misalignment|Existential Risk & Superintelligence|AI Evaluations & Benchmarks
applied,2,low,LESSWRONG_318b69cf.md,yes,Evaluation,AI Safety,misalignment,blog_post,,RLHF & Its Limitations|AI Evaluations & Benchmarks
applied,4,medium,LESSWRONG_6e8fb49c.md,yes,AI Risk Mitigation,AI Safety,misalignment,blog_post,autonomous-systems|OpenAI,Scalable Oversight
applied,5,low,LESSWRONG_cc1eed09.md,yes,AI Risk Mitigation,AI Safety,misalignment,blog_post,,RLHF & Its Limitations|Existential Risk & Superintelligence|Agentic Misalignment
applied,5,low,LESSWRONG_d0aef86c.md,yes,AI Risk Mitigation,AI Safety,misalignment,blog_post,,RLHF & Its Limitations|Scalable Oversight|Existential Risk & Superintelligence
applied,5,low,LESSWRONG_f9826af5.md,yes,AI Risk Mitigation,AI Safety,misalignment,blog_post,,RLHF & Its Limitations
applied,5,medium,LLM_CTF_SaTML_2024_97b1f306.md,yes,Evaluation,AI Safety,misalignment,blog_post,evaluations|red-teaming|adversarial|prompt-injection|open-source,AI Evaluations & Benchmarks
applied,7,low,Locating_and_Editing_Factual_Associations_in_GPT_c596305d.md,yes,RSP,AI Safety,misalignment,blog_post,RSP,AI Evaluations & Benchmarks|Responsible Scaling Policies
applied,4,medium,Location_Verification_for_AI_Chips_Institute_for_AI_Policy_and_Strategy_de9e0639.md,yes,AI Risk Mitigation,AI Safety,misalignment,blog_post,regulation|open-source,RLHF & Its Limitations
applied,15,medium,MATS_Research_fb0dee66.md,yes,RSP,AI Safety,misalignment,blog_post,deception|RSP|Anthropic|interpretability|mechanistic-interpretability|transparency,RLHF & Its Limitations|AI Evaluations & Benchmarks|Responsible Scaling Policies
applied,2,low,Malaria_vaccine_-_Wikipedia_a81e30ed.md,yes,AI Risk Mitigation,AI Safety,misalignment,blog_post,regulation,RLHF & Its Limitations
applied,10,medium,Mapping_the_Mind_of_a_Large_Language_Model_498fcf79.md,yes,AI Risk Mitigation,AI Safety,misalignment,blog_post,Anthropic|OpenAI|interpretability,RLHF & Its Limitations
applied,8,high,Modifying_LLM_Beliefs_with_Synthetic_Document_Finetuning_6e2b5ec5.md,yes,Evaluation,AI Safety,misalignment,blog_post,unlearning|evaluations|chain-of-thought|Anthropic|OpenAI|open-source,Pretraining Data Filtering|AI Evaluations & Benchmarks
applied,2,low,Noah_R._Feldman_-_Harvard_Law_School_c07b20cb.md,yes,Model-level Mitigation,AI Safety,misalignment,blog_post,governance,Scalable Oversight|Constitutional AI (RLAIF)
applied,4,medium,Official_Leaderboards_cf42ebe4.md,yes,Evaluation,AI Safety,misalignment,blog_post,evaluations|Anthropic|OpenAI|open-source,RLHF & Its Limitations|AI Evaluations & Benchmarks|Agentic Misalignment
applied,6,medium,OpenAI_Model_Spec_49ff3771.md,yes,AI Risk Mitigation,AI Safety,misalignment,blog_post,OpenAI|transparency,RLHF & Its Limitations|Existential Risk & Superintelligence
skip_no_ai_signal,1,low,Order_statistic_-_Wikipedia_8127eb5f.md,yes,Evaluation,AI Safety,misalignment,blog_post,,RLHF & Its Limitations|AI Evaluations & Benchmarks
applied,10,medium,Paul_Christiano_Current_Work_in_AI_Alignment_Effective_Altruism_c4e0b2b8.md,yes,RSP,AI Safety,mistakes,blog_post,RSP|catastrophic-risk|OpenAI,Existential Risk & Superintelligence|Responsible Scaling Policies|RLHF & Its Limitations
applied,12,medium,Pause_Giant_AI_Experiments_An_Open_Letter_-_Future_of_Life_Institute_d6f15827.md,yes,RSP,AI Safety,misalignment,petition,power-seeking|RSP|governance|regulation|x-risk|existential-risk|superintelligence|catastrophic-risk|OpenAI|interpretability,Existential Risk & Superintelligence|Responsible Scaling Policies
applied,3,low,Political_Declaration_on_Responsible_Military_Use_of_Artificial_Intelligence_and_Autonomy_-_United_S_bf03e86d.md,yes,AI Risk Mitigation,AI Safety,misalignment,blog_post,,Scalable Oversight
skip_no_ai_signal,1,low,Population_Growth_0b6d4e35.md,yes,Evaluation,AI Safety,misalignment,blog_post,,AI Evaluations & Benchmarks
applied,2,high,Pre-agriculture_gender_relations_seem_bad_b40c36f1.md,yes,RSP,AI Safety,misalignment,blog_post,RSP|Google|x-risk|AGI,RLHF & Its Limitations|Scalable Oversight|Responsible Scaling Policies|Existential Risk & Superintelligence
applied,8,high,Putting_up_Bumpers_0d0b4e54.md,yes,Evaluation,AI Safety,misalignment,blog_post,sandbagging|superalignment|evaluations|red-teaming|dangerous-capabilities|regulation|AGI|autonomous-systems|Anthropic|OpenAI,RLHF & Its Limitations|Alignment Faking & Scheming|Weak-to-Strong Generalization|Existential Risk & Superintelligence|AI Evaluations & Benchmarks
applied,9,medium,Reasons_that_AI_Can_Help_with_AI_Governance_56a98a0a.md,yes,RSP,AI Safety,misuse,blog_post,Constitutional-AI|bioweapons|cyber-offense|disinformation|RSP|governance|Anthropic|OpenAI|open-source,Constitutional AI (RLAIF)|Existential Risk & Superintelligence|AI Evaluations & Benchmarks|Responsible Scaling Policies
applied,7,low,Safety_engineering_target_selection_and_alignment_theory_-_Machine_Intelligence_Research_Institute_8e289f7b.md,yes,AI Risk Mitigation,AI Safety,misalignment,blog_post,,RLHF & Its Limitations|Existential Risk & Superintelligence
applied,5,low,Scaling_tacit_knowledge_8d8f5a60.md,yes,AI Risk Mitigation,AI Safety,misalignment,blog_post,Google,RLHF & Its Limitations|Scalable Oversight|Existential Risk & Superintelligence
skip_no_ai_signal,1,low,Sensitive_compartmented_information_facility_-_Wikipedia_f4baae85.md,yes,AI Risk Mitigation,AI Safety,misalignment,blog_post,,Scalable Oversight
applied,3,medium,Short_letter_to_my_11-year-old_self_174af071.md,yes,AI Risk Mitigation,AI Safety,misalignment,blog_post,debate|biorisk,RLHF & Its Limitations|Scalable Oversight|Existential Risk & Superintelligence
applied,3,low,Smart_contract_-_Wikipedia_a859c087.md,yes,AI Risk Mitigation,AI Safety,misalignment,blog_post,,RLHF & Its Limitations
applied,2,low,Sortition_-_Wikipedia_38461114.md,yes,AI Risk Mitigation,AI Safety,misalignment,blog_post,governance,RLHF & Its Limitations|Existential Risk & Superintelligence
applied,4,medium,Squiggle_Maximizer_formerly_Paperclip_maximizer_9bc9007c.md,yes,RSP,AI Safety,misalignment,blog_post,inner-alignment|outer-alignment|RSP|AGI|intelligence-explosion,RLHF & Its Limitations|Scalable Oversight|Existential Risk & Superintelligence|Responsible Scaling Policies
applied,3,low,Statistical_hypothesis_test_-_Wikipedia_391af5d7.md,yes,Evaluation,AI Safety,misalignment,blog_post,,AI Evaluations & Benchmarks
applied,7,medium,Steering_at_the_Frontier_Extending_the_Power_of_Prompting_-_Microsoft_Research_aacb2dd9.md,yes,Evaluation,AI Safety,misalignment,blog_post,evaluations|benchmarks|Google,RLHF & Its Limitations|Scalable Oversight|AI Evaluations & Benchmarks
applied,2,low,Sydney_Brenner_-_Wikipedia_68c339bd.md,yes,AI Risk Mitigation,AI Safety,misalignment,blog_post,,RLHF & Its Limitations
applied,7,low,Synthetic_data_real_harm_190b80b8.md,yes,Model-level Mitigation,AI Safety,mistakes,blog_post,governance,RLHF & Its Limitations|Constitutional AI (RLAIF)
applied,6,medium,TIME100_AI_2024_Yoshua_Bengio_1464b780.md,yes,RSP,AI Safety,misuse,blog_post,biorisk|bioweapons|cyber-offense|disinformation|RSP|regulation|existential-risk|catastrophic-risk|autonomous-systems,RLHF & Its Limitations|Scalable Oversight|Existential Risk & Superintelligence|Responsible Scaling Policies|Agentic Misalignment
applied,12,medium,Technological_singularity_-_Wikipedia_cbb7a8a9.md,yes,AI Risk Mitigation,AI Safety,misalignment,blog_post,superintelligence|intelligence-explosion|extinction,Scalable Oversight|Existential Risk & Superintelligence
applied,6,medium,The_Amyloid-β_Pathway_in_Alzheimers_Disease_-_Molecular_Psychiatry_6e1c20d8.md,yes,RSP,AI Safety,misalignment,blog_post,evaluations|RSP|regulation,RLHF & Its Limitations|Scalable Oversight|AI Evaluations & Benchmarks|Responsible Scaling Policies
applied,2,low,The_Art_of_the_Deal_-_Wikipedia_b79326db.md,yes,AI Risk Mitigation,AI Safety,misalignment,blog_post,,RLHF & Its Limitations
applied,2,low,The_Association_between_Subjective_Well-being_and_Regime_Type_across_78_countries_the_moderating_rol_d6fc7d31.md,yes,Evaluation,AI Safety,misalignment,blog_post,evaluations,RLHF & Its Limitations|AI Evaluations & Benchmarks
applied,2,low,The_Better_Angels_of_Our_Nature_-_Wikipedia_c0162d30.md,yes,RSP,AI Safety,misalignment,blog_post,RSP,Responsible Scaling Policies
applied,2,medium,The_Bread_and_Butter_Problem_in_AI_Policy_b0ce0b11.md,yes,AI Risk Mitigation,AI Safety,misalignment,blog_post,governance|regulation,Scalable Oversight
applied,4,low,The_Building_Blocks_of_Interpretability_1d4292ce.md,yes,Evaluation,AI Safety,misalignment,blog_post,interpretability,AI Evaluations & Benchmarks
applied,2,low,The_Computational_Democracy_Project_f509dda6.md,yes,AI Risk Mitigation,AI Safety,misalignment,blog_post,open-source,RLHF & Its Limitations
applied,4,high,The_Duplicator_e65d0141.md,yes,AI Risk Mitigation,AI Safety,misalignment,blog_post,x-risk|AGI,RLHF & Its Limitations|Existential Risk & Superintelligence
skip_no_ai_signal,1,low,The_End_of_History_and_the_Last_Man_-_Wikipedia_c764d2ce.md,yes,Evaluation,AI Safety,misalignment,blog_post,,AI Evaluations & Benchmarks
applied,6,medium,The_U.S._Public_Wants_Regulation_or_Prohibition_of_ExpertLevel_and_Superhuman_AI_-_Future_of_Life_In_c40e1edd.md,yes,AI Risk Mitigation,AI Safety,structural,blog_post,regulation|extinction,RLHF & Its Limitations|Scalable Oversight|Existential Risk & Superintelligence
applied,5,high,The_most_important_century_blog_post_series_fd178cb0.md,yes,AI Risk Mitigation,AI Safety,misalignment,blog_post,x-risk|AGI,RLHF & Its Limitations|Scalable Oversight|Existential Risk & Superintelligence
applied,4,low,The_near-term_impact_of_AI_on_the_cyber_threat_ed1654d4.md,yes,Evaluation,AI Safety,misuse,blog_post,,RLHF & Its Limitations|Scalable Oversight|AI Evaluations & Benchmarks
applied,2,low,The_world_is_awful._The_world_is_much_better._The_world_can_be_much_better._fafa44ac.md,yes,RSP,AI Safety,misalignment,blog_post,RSP,RLHF & Its Limitations|Existential Risk & Superintelligence|Responsible Scaling Policies
skip_no_ai_signal,1,low,Three_rules_for_technological_fixes_-_Nature_92877fb3.md,yes,AI Risk Mitigation,AI Safety,misalignment,blog_post,regulation,RLHF & Its Limitations|Scalable Oversight
applied,2,low,Tit_for_tat_-_Wikipedia_99757fe1.md,yes,Evaluation,AI Safety,misalignment,blog_post,adversarial,RLHF & Its Limitations|AI Evaluations & Benchmarks|Agentic Misalignment
applied,11,high,Towards_Monosemanticity_Decomposing_Language_Models_With_Dictionary_Learning_eaa33128.md,yes,AI Risk Mitigation,AI Safety,misalignment,research_paper,interpretability|mechanistic-interpretability|Anthropic,Existential Risk & Superintelligence
