from,reason,status,substring,to
02_Mitigations-and-Methods/02a_RLHF-and-Limitations/All_Possible_Views_About_Humanitys_Future_Are_Wild_aba44c8e.md,Karnofsky x-risk essay,ok,All_Possible_Views_About_Humanitys_Future_Are_Wild,01_Risks-and-Failure-Modes/01a_Existential-Risk/All_Possible_Views_About_Humanitys_Future_Are_Wild_aba44c8e.md
02_Mitigations-and-Methods/02a_RLHF-and-Limitations/CERN_for_AI_An_overview_ad031a5f.md,Brundage CERN-for-AI proposal,ok,CERN_for_AI_An_overview,01_Risks-and-Failure-Modes/01a_Existential-Risk/CERN_for_AI_An_overview_ad031a5f.md
02_Mitigations-and-Methods/02a_RLHF-and-Limitations/Embedded_Agency_Full_Text_Version_9c90fe79.md,MIRI embedded agency theory,ok,Embedded_Agency_Full_Text_Version,01_Risks-and-Failure-Modes/01a_Existential-Risk/Embedded_Agency_Full_Text_Version_9c90fe79.md
02_Mitigations-and-Methods/02a_RLHF-and-Limitations/Sunset_At_Noon_56f53f26.md,LessWrong essay on AI urgency,ok,Sunset_At_Noon,01_Risks-and-Failure-Modes/01a_Existential-Risk/Sunset_At_Noon_56f53f26.md
02_Mitigations-and-Methods/02a_RLHF-and-Limitations/Ugh_Fields_cf90fc1b.md,"rationality, weak relevance — keep with x-risk LW cluster",ok,Ugh_Fields,01_Risks-and-Failure-Modes/01a_Existential-Risk/Ugh_Fields_cf90fc1b.md
02_Mitigations-and-Methods/02a_RLHF-and-Limitations/Without_Fundamental_Advances_Misalignment_And_Catastrophe_b497a748.md,x-risk argument,ok,Without_Fundamental_Advances_Misalignment_And_Catastrophe,01_Risks-and-Failure-Modes/01a_Existential-Risk/Without_Fundamental_Advances_Misalignment_And_Catastrophe_b497a748.md
02_Mitigations-and-Methods/02a_RLHF-and-Limitations/Without_Specific_Countermeasures_The_Easiest_Path_To_478b16f1.md,Cotra x-risk default-path,ok,Without_Specific_Countermeasures_The_Easiest_Path_To,01_Risks-and-Failure-Modes/01a_Existential-Risk/Without_Specific_Countermeasures_The_Easiest_Path_To_478b16f1.md
02_Mitigations-and-Methods/02a_RLHF-and-Limitations/The_Duplicator_e65d0141.md,Karnofsky thought experiment,ok,The_Duplicator,01_Risks-and-Failure-Modes/01a_Existential-Risk/The_Duplicator_e65d0141.md
02_Mitigations-and-Methods/02a_RLHF-and-Limitations/What_Failure_Looks_Like_758831b4.md,Christiano canonical x-risk,ok,What_Failure_Looks_Like,01_Risks-and-Failure-Modes/01a_Existential-Risk/What_Failure_Looks_Like_758831b4.md
02_Mitigations-and-Methods/02a_RLHF-and-Limitations/Safety_engineering_target_selection_and_alignment_theory_-_Machine_Intelligence_Research_Institute_8e289f7b.md,MIRI 2015 paper,ok,Safety_engineering_target_selection,01_Risks-and-Failure-Modes/01a_Existential-Risk/Safety_engineering_target_selection_and_alignment_theory_-_Machine_Intelligence_Research_Institute_8e289f7b.md
02_Mitigations-and-Methods/02a_RLHF-and-Limitations/Buck_3aaf690a.md,"Buck profile, scheming-tagged",ok,Buck_3aaf690a,01_Risks-and-Failure-Modes/01c_Alignment-Faking-Scheming/Buck_3aaf690a.md
02_Mitigations-and-Methods/02c_Scalable-Oversight/LESSWRONG_d0aef86c.md,Beware Safety Washing essay,ok,LESSWRONG_d0aef86c,01_Risks-and-Failure-Modes/01a_Existential-Risk/LESSWRONG_d0aef86c.md
02_Mitigations-and-Methods/02c_Scalable-Oversight/LESSWRONG_6e8fb49c.md,Impressions from base GPT-4,ok,LESSWRONG_6e8fb49c,01_Risks-and-Failure-Modes/01a_Existential-Risk/LESSWRONG_6e8fb49c.md
,High Reliability Orgs and AI Companies,already_there,LESSWRONG_ee64d13a,
,DeepMind The Podcast: AGI excerpts,already_there,LESSWRONG_f945d0f4,
,Anthropic poisoning paper,no_match,A_small_number_of_samples_can_poison,
,EleutherAI Deep Ignorance,no_match,Deep_Ignorance_Filtering_Pretraining,
,Anthropic CBRN data filtering,no_match,Enhancing_Model_Safety_through_Pretraining_Data_Filtering,
,OpenAI scheming detection,no_match,Detecting_and_reducing_scheming,
02_Mitigations-and-Methods/02a_RLHF-and-Limitations/Another_Outer_Alignment_Failure_Story_5f282ae9.md,Christiano alignment failure,ok,Another_Outer_Alignment_Failure_Story,01_Risks-and-Failure-Modes/01c_Alignment-Faking-Scheming/Another_Outer_Alignment_Failure_Story_5f282ae9.md
,Bai et al. CAI paper (md version),no_match,Constitutional_AI_Harmlessness_from_AI_Feedback_5eacf5e7,
,Burns et al. W2SG paper,no_match,Weak-to-Strong_Generalization_Eliciting_Strong_Capabilities,
02_Mitigations-and-Methods/02a_RLHF-and-Limitations/Article_56_Codes_of_Practice_cd9ad85d.md,EU AI Act,ok,Article_56_Codes_of_Practice,04_Governance-and-Policy/04c_Other-Governance/Article_56_Codes_of_Practice_cd9ad85d.md
02_Mitigations-and-Methods/02a_RLHF-and-Limitations/FMF_Announces_First-Of-Its-Kind_Information-Sharing_Agreement_-_Frontier_Model_Forum_0426045b.md,Frontier Model Forum agreement,ok,FMF_Announces_First-Of-Its-Kind,04_Governance-and-Policy/04a_RSPs-and-Frontier-Frameworks/FMF_Announces_First-Of-Its-Kind_Information-Sharing_Agreement_-_Frontier_Model_Forum_0426045b.md
02_Mitigations-and-Methods/02a_RLHF-and-Limitations/How_AI_Labs_Can_Safeguard_Model_Weights_f80e302b.md,RAND report on weight security,ok,How_AI_Labs_Can_Safeguard_Model_Weights,04_Governance-and-Policy/04c_Other-Governance/How_AI_Labs_Can_Safeguard_Model_Weights_f80e302b.md
02_Mitigations-and-Methods/02a_RLHF-and-Limitations/Location_Verification_for_AI_Chips_Institute_for_AI_Policy_and_Strategy_de9e0639.md,IAPS compute governance,ok,Location_Verification_for_AI_Chips,04_Governance-and-Policy/04c_Other-Governance/Location_Verification_for_AI_Chips_Institute_for_AI_Policy_and_Strategy_de9e0639.md
02_Mitigations-and-Methods/02a_RLHF-and-Limitations/Model_Safety_Bug_Bounty_Program_Claude_Help_Center_52e7c661.md,Anthropic bug bounty,ok,Model_Safety_Bug_Bounty_Program,04_Governance-and-Policy/04a_RSPs-and-Frontier-Frameworks/Model_Safety_Bug_Bounty_Program_Claude_Help_Center_52e7c661.md
02_Mitigations-and-Methods/02a_RLHF-and-Limitations/U.S._Commerce_Secretary_Gina_Raimondo_Announces_Expansion_of_U.S._AI_Safety_Institute_Leadership_Tea_ead0c98f.md,US AISI announcement,ok,U.S._Commerce_Secretary_Gina_Raimondo,04_Governance-and-Policy/04c_Other-Governance/U.S._Commerce_Secretary_Gina_Raimondo_Announces_Expansion_of_U.S._AI_Safety_Institute_Leadership_Tea_ead0c98f.md
02_Mitigations-and-Methods/02a_RLHF-and-Limitations/U.S._Pushes_for_Less_AI_Regulation_at_Paris_Summit_e783d383.md,Paris summit news,ok,U.S._Pushes_for_Less_AI_Regulation_at_Paris,04_Governance-and-Policy/04c_Other-Governance/U.S._Pushes_for_Less_AI_Regulation_at_Paris_Summit_e783d383.md
02_Mitigations-and-Methods/02a_RLHF-and-Limitations/What_Is_DeepSeek_the_New_Chinese_OpenAI_Rival_8399055d.md,China AI policy news,ok,What_Is_DeepSeek,04_Governance-and-Policy/04c_Other-Governance/What_Is_DeepSeek_the_New_Chinese_OpenAI_Rival_8399055d.md
02_Mitigations-and-Methods/02a_RLHF-and-Limitations/What_normal_Americans_not_AI_companies_want_for_AI_ce23b483.md,polling-driven policy commentary,ok,What_normal_Americans_not_AI_companies_want_for_AI,04_Governance-and-Policy/04c_Other-Governance/What_normal_Americans_not_AI_companies_want_for_AI_ce23b483.md
02_Mitigations-and-Methods/02a_RLHF-and-Limitations/The_Computational_Democracy_Project_f509dda6.md,Polis platform / democratic AI,ok,The_Computational_Democracy_Project,04_Governance-and-Policy/04c_Other-Governance/The_Computational_Democracy_Project_f509dda6.md
02_Mitigations-and-Methods/02a_RLHF-and-Limitations/Import_AI_a098b9cd.md,Jack Clark newsletter — AI governance/news,ok,Import_AI,04_Governance-and-Policy/04c_Other-Governance/Import_AI_a098b9cd.md
02_Mitigations-and-Methods/02a_RLHF-and-Limitations/Jason_Matheny_-_Profile_8006f865.md,RAND CEO profile,ok,Jason_Matheny_-_Profile,05_Resources/05b_Sources-Background/Jason_Matheny_-_Profile_8006f865.md
02_Mitigations-and-Methods/02a_RLHF-and-Limitations/John_Schulman_OpenAI_Cofounder_-_Reasoning_RLHF_Plan_for_2027_AGI_edd8fc6e.md,Dwarkesh interview on 2027 AGI plan,ok,John_Schulman_OpenAI_Cofounder,01_Risks-and-Failure-Modes/01b_AGI-Capability-and-Forecasting/John_Schulman_OpenAI_Cofounder_-_Reasoning_RLHF_Plan_for_2027_AGI_edd8fc6e.md
,Anthropic research agenda — methodology,no_match,Recommendations_for_Technical_AI_Safety_Research_Directions,
02_Mitigations-and-Methods/02a_RLHF-and-Limitations/The_Case_For_More_Ambitious_Language_Model_Evals_a4a84e19.md,LessWrong methodology argument,ok,The_Case_For_More_Ambitious_Language_Model_Evals,03_Evaluations/03a_Methodology/The_Case_For_More_Ambitious_Language_Model_Evals_a4a84e19.md
02_Mitigations-and-Methods/02a_RLHF-and-Limitations/Reinforcement_Learning_from_Human_Feedback_RLHF_A_Simple_Explainer_e0204920.md,BlueDot RLHF explainer,ok,Reinforcement_Learning_from_Human_Feedback_RLHF_A_Simple_Explainer,05_Resources/05a_Educational/Reinforcement_Learning_from_Human_Feedback_RLHF_A_Simple_Explainer_e0204920.md
02_Mitigations-and-Methods/02a_RLHF-and-Limitations/What_is_Recursive_Reward_Modelling_b2db8f27.md,BlueDot RRM explainer,ok,What_is_Recursive_Reward_Modelling,05_Resources/05a_Educational/What_is_Recursive_Reward_Modelling_b2db8f27.md
,BlueDot RLHF problems explainer,no_match,Problems_with_Reinforcement_Learning_from_Human_Feedback_RLHF_for_AI_safety,
02_Mitigations-and-Methods/02a_RLHF-and-Limitations/What_is_the_alignment_problem_c4c79e06.md,Leike alignment substack explainer,ok,What_is_the_alignment_problem,05_Resources/05a_Educational/What_is_the_alignment_problem_c4c79e06.md
02_Mitigations-and-Methods/02a_RLHF-and-Limitations/Publications_48c622e6.md,DeepMind publications listing page,ok,Publications,05_Resources/05b_Sources-Background/Publications_48c622e6.md
