document,url,line
AI Risk Mitigation/Recommendations for Technical AI Safety Research Directions.md,https://arxiv.org/abs/2401.13986,123
AI Risk Mitigation/Recommendations for Technical AI Safety Research Directions.md,https://arxiv.org/abs/2403.05518,123
AI Risk Mitigation/Recommendations for Technical AI Safety Research Directions.md,https://arxiv.org/abs/2312.06942,137
AI Risk Mitigation/Recommendations for Technical AI Safety Research Directions.md,https://arxiv.org/abs/2311.10538,143
AI Risk Mitigation/Recommendations for Technical AI Safety Research Directions.md,https://arxiv.org/abs/2401.13138,143
AI Risk Mitigation/Recommendations for Technical AI Safety Research Directions.md,https://arxiv.org/abs/2410.03768,155
AI Risk Mitigation/Recommendations for Technical AI Safety Research Directions.md,https://www.lesswrong.com/posts/WCj7WgFSLmyKaMwPR/coup-probes-catching-catastrophes-with-probes-trained-off,165
AI Risk Mitigation/Recommendations for Technical AI Safety Research Directions.md,https://arxiv.org/abs/2406.04313,167
AI Risk Mitigation/Recommendations for Technical AI Safety Research Directions.md,https://www.alignment.org/blog/mechanistic-anomaly-detection-and-elk/,173
AI Risk Mitigation/Recommendations for Technical AI Safety Research Directions.md,https://arxiv.org/abs/2312.01037,175
AI Risk Mitigation/Recommendations for Technical AI Safety Research Directions.md,https://arxiv.org/abs/2409.12822,199
AI Risk Mitigation/Recommendations for Technical AI Safety Research Directions.md,https://deepmind.google/discover/blog/specification-gaming-the-flip-side-of-ai-ingenuity/,203
AI Risk Mitigation/Recommendations for Technical AI Safety Research Directions.md,https://arxiv.org/abs/2206.05802,218
AI Risk Mitigation/Recommendations for Technical AI Safety Research Directions.md,https://arxiv.org/abs/1810.08575,220
AI Risk Mitigation/Recommendations for Technical AI Safety Research Directions.md,https://arxiv.org/abs/2109.10862,220
AI Risk Mitigation/Recommendations for Technical AI Safety Research Directions.md,https://arxiv.org/abs/1805.00899,221
AI Risk Mitigation/Recommendations for Technical AI Safety Research Directions.md,https://arxiv.org/abs/2311.08702,221
AI Risk Mitigation/Recommendations for Technical AI Safety Research Directions.md,https://arxiv.org/abs/2402.06782,221
AI Risk Mitigation/Recommendations for Technical AI Safety Research Directions.md,https://arxiv.org/abs/2407.04622,221
AI Risk Mitigation/Recommendations for Technical AI Safety Research Directions.md,https://arxiv.org/abs/2407.13692,221
AI Risk Mitigation/Recommendations for Technical AI Safety Research Directions.md,https://arxiv.org/abs/2312.09390,233
AI Risk Mitigation/Recommendations for Technical AI Safety Research Directions.md,https://arxiv.org/abs/2407.13647,233
AI Risk Mitigation/Recommendations for Technical AI Safety Research Directions.md,https://arxiv.org/abs/2212.03827,233
AI Risk Mitigation/Recommendations for Technical AI Safety Research Directions.md,https://arxiv.org/abs/2306.09983,233
AI Risk Mitigation/Recommendations for Technical AI Safety Research Directions.md,https://arxiv.org/abs/2210.10760,237
AI Risk Mitigation/Recommendations for Technical AI Safety Research Directions.md,https://arxiv.org/abs/2409.18433,241
AI Risk Mitigation/Recommendations for Technical AI Safety Research Directions.md,https://arxiv.org/abs/2401.06751,241
AI Risk Mitigation/Recommendations for Technical AI Safety Research Directions.md,https://arxiv.org/abs/2403.09472,241
AI Risk Mitigation/Recommendations for Technical AI Safety Research Directions.md,https://arxiv.org/abs/2410.13215,245
AI Risk Mitigation/Recommendations for Technical AI Safety Research Directions.md,https://arxiv.org/abs/2304.13734,254
AI Risk Mitigation/Recommendations for Technical AI Safety Research Directions.md,https://arxiv.org/abs/2310.06824,254
AI Risk Mitigation/Recommendations for Technical AI Safety Research Directions.md,https://arxiv.org/abs/2310.01405,254
AI Risk Mitigation/Recommendations for Technical AI Safety Research Directions.md,https://arxiv.org/abs/2312.06681,254
AI Risk Mitigation/Recommendations for Technical AI Safety Research Directions.md,https://arxiv.org/abs/2306.03341,254
AI Risk Mitigation/Recommendations for Technical AI Safety Research Directions.md,https://arxiv.org/abs/2312.03729,254
AI Risk Mitigation/Recommendations for Technical AI Safety Research Directions.md,https://arxiv.org/abs/2410.13722,264
AI Risk Mitigation/Recommendations for Technical AI Safety Research Directions.md,https://arxiv.org/abs/2406.13352,264
AI Risk Mitigation/Recommendations for Technical AI Safety Research Directions.md,https://arxiv.org/abs/2402.10260,274
AI Risk Mitigation/Recommendations for Technical AI Safety Research Directions.md,https://arxiv.org/abs/2410.09024,274
AI Risk Mitigation/Recommendations for Technical AI Safety Research Directions.md,https://arxiv.org/abs/2403.07918,276
AI Risk Mitigation/Recommendations for Technical AI Safety Research Directions.md,https://arxiv.org/abs/2307.15043,278
AI Risk Mitigation/Recommendations for Technical AI Safety Research Directions.md,https://arxiv.org/abs/2411.07494v1,291
AI Risk Mitigation/Recommendations for Technical AI Safety Research Directions.md,https://arxiv.org/abs/2409.18025,303
AI Risk Mitigation/Recommendations for Technical AI Safety Research Directions.md,https://arxiv.org/abs/2403.03218,303
AI Risk Mitigation/Recommendations for Technical AI Safety Research Directions.md,https://arxiv.org/abs/2410.08827,305
AI Risk Mitigation/A small number of samples can poison LLMs of any size.md,https://arxiv.org/abs/2510.07192,19
AI Risk Mitigation/A small number of samples can poison LLMs of any size.md,https://arxiv.org/abs/2311.14455,25
AI Risk Mitigation/A small number of samples can poison LLMs of any size.md,https://arxiv.org/abs/2410.13722v1,27
AI Risk Mitigation/A small number of samples can poison LLMs of any size.md,https://www.anthropic.com/_next/image?url=https%3A%2F%2Fwww-cdn.anthropic.com%2Fimages%2F4zrzovbb%2Fwebsite%2F063a4368697f13e8d297f3cfed31a4cf9fe0790e-4584x1667.png&w=3840&q=75,53
AI Risk Mitigation/A small number of samples can poison LLMs of any size.md,https://arxiv.org/abs/2203.15556,59
AI Risk Mitigation/A small number of samples can poison LLMs of any size.md,https://www.anthropic.com/_next/image?url=https%3A%2F%2Fwww-cdn.anthropic.com%2Fimages%2F4zrzovbb%2Fwebsite%2Fa04240ddbf30daf711a186ceed0a240bd390a312-4584x2580.png&w=3840&q=75,71
AI Risk Mitigation/A small number of samples can poison LLMs of any size.md,https://www.anthropic.com/_next/image?url=https%3A%2F%2Fwww-cdn.anthropic.com%2Fimages%2F4zrzovbb%2Fwebsite%2F389ef6fe2011f65e3f7bd7c56eadbe89ea9b45b7-4584x2580.png&w=3840&q=75,75
AI Risk Mitigation/A small number of samples can poison LLMs of any size.md,https://www.anthropic.com/_next/image?url=https%3A%2F%2Fwww-cdn.anthropic.com%2Fimages%2F4zrzovbb%2Fwebsite%2Fae6d3c4209ac5fa888cb21941f25e0d24c14e275-4584x2579.png&w=3840&q=75,81
AI Risk Mitigation/A small number of samples can poison LLMs of any size.md,https://www.anthropic.com/_next/image?url=https%3A%2F%2Fwww-cdn.anthropic.com%2Fimages%2F4zrzovbb%2Fwebsite%2F713234b3b3dc00ab02ff4c16b7ad3fd9d1171ad9-4584x2579.png&w=3840&q=75,89
AI Risk Mitigation/A small number of samples can poison LLMs of any size.md,https://www.anthropic.com/_next/image?url=https%3A%2F%2Fwww-cdn.anthropic.com%2Fimages%2F4zrzovbb%2Fwebsite%2F70cae1622a2d6c22e2c6e263ea158167ca2106c1-4584x2579.png&w=3840&q=75,93
AI Risk Mitigation/A small number of samples can poison LLMs of any size.md,https://www.anthropic.com/_next/image?url=https%3A%2F%2Fwww-cdn.anthropic.com%2Fimages%2F4zrzovbb%2Fwebsite%2Ff58920b4636df3919c1bda221581692c794a1399-4584x2579.png&w=3840&q=75,97
AI Risk Mitigation/What is input data filtration in AI safety?.md,https://www.synnada.ai/glossary/data-pruning,35
AI Risk Mitigation/What is input data filtration in AI safety?.md,https://www.adalovelaceinstitute.org/blog/synthetic-data-real-harm/,55
AI Risk Mitigation/What is input data filtration in AI safety?.md,https://bluedot.org/blog/introduction-to-mechanistic-interpretability,67
AI Risk Mitigation/What is input data filtration in AI safety?.md,https://arxiv.org/pdf/2108.07790,73
AI Risk Mitigation/What is input data filtration in AI safety?.md,https://bluedot.org/blog/what-is-machine-unlearning-and-why-is-it-useful,75
AI Risk Mitigation/What is input data filtration in AI safety?.md,https://safe.ai/blog/wmdp-benchmark,75
AI Risk Mitigation/Deep Ignorance Filtering Pretraining Data Builds Tamper-Resistant Safeguards.md,https://fortune.com/2025/08/14/worried-ai-could-teach-people-to-build-bioweapons-dont-teach-it-how-say-researchers/,56
AI Risk Mitigation/Deep Ignorance Filtering Pretraining Data Builds Tamper-Resistant Safeguards.md,https://jack-clark.net/,61
AI Risk Mitigation/Deep Ignorance Filtering Pretraining Data Builds Tamper-Resistant Safeguards.md,https://www.ox.ac.uk/news/2025-08-12-study-finds-filtered-data-stops-openly-available-ai-models-performing-dangerous,66
AI Risk Mitigation/Deep Ignorance Filtering Pretraining Data Builds Tamper-Resistant Safeguards.md,https://blog.eleuther.ai/deep-ignorance/,71
AI Risk Mitigation/Deep Ignorance Filtering Pretraining Data Builds Tamper-Resistant Safeguards.md,https://huggingface.co/collections/EleutherAI/deep-ignorance-685441040d024a0fee593d68,75
AI Risk Mitigation/Deep Ignorance Filtering Pretraining Data Builds Tamper-Resistant Safeguards.md,https://huggingface.co/EleutherAI/deep-ignorance-unfiltered,77
AI Risk Mitigation/Deep Ignorance Filtering Pretraining Data Builds Tamper-Resistant Safeguards.md,https://huggingface.co/EleutherAI/deep-ignorance-pretraining-stage-unfiltered,77
AI Risk Mitigation/Deep Ignorance Filtering Pretraining Data Builds Tamper-Resistant Safeguards.md,https://huggingface.co/EleutherAI/deep-ignorance-e2e-strong-filter,77
AI Risk Mitigation/Deep Ignorance Filtering Pretraining Data Builds Tamper-Resistant Safeguards.md,https://huggingface.co/EleutherAI/deep-ignorance-e2e-weak-filter,77
AI Risk Mitigation/Deep Ignorance Filtering Pretraining Data Builds Tamper-Resistant Safeguards.md,https://huggingface.co/EleutherAI/deep-ignorance-e2e-extra-weak-filter,77
AI Risk Mitigation/Deep Ignorance Filtering Pretraining Data Builds Tamper-Resistant Safeguards.md,https://huggingface.co/EleutherAI/deep-ignorance-strong-filter-pt-weak-filter-anneal,77
AI Risk Mitigation/Deep Ignorance Filtering Pretraining Data Builds Tamper-Resistant Safeguards.md,https://huggingface.co/EleutherAI/deep-ignorance-weak-filter-pt-strong-filter-anneal,77
AI Risk Mitigation/Deep Ignorance Filtering Pretraining Data Builds Tamper-Resistant Safeguards.md,https://huggingface.co/EleutherAI/deep-ignorance-unfiltered-cb,77
AI Risk Mitigation/Deep Ignorance Filtering Pretraining Data Builds Tamper-Resistant Safeguards.md,https://huggingface.co/EleutherAI/deep-ignorance-e2e-strong-filter-cb,77
AI Risk Mitigation/Deep Ignorance Filtering Pretraining Data Builds Tamper-Resistant Safeguards.md,https://huggingface.co/EleutherAI/deep-ignorance-strong-filter-pt-weak-filter-anneal-cb,77
AI Risk Mitigation/Deep Ignorance Filtering Pretraining Data Builds Tamper-Resistant Safeguards.md,https://huggingface.co/EleutherAI/deep-ignorance-unfiltered-cb-lat,77
AI Risk Mitigation/Deep Ignorance Filtering Pretraining Data Builds Tamper-Resistant Safeguards.md,https://huggingface.co/EleutherAI/deep-ignorance-e2e-strong-filter-cb-lat,77
AI Risk Mitigation/Deep Ignorance Filtering Pretraining Data Builds Tamper-Resistant Safeguards.md,https://huggingface.co/EleutherAI/deep-ignorance-strong-filter-pt-weak-filter-anneal-cb-lat,77
AI Risk Mitigation/Deep Ignorance Filtering Pretraining Data Builds Tamper-Resistant Safeguards.md,https://huggingface.co/EleutherAI/deep-ignorance-e2e-strong-filter-weak-knowledge-corrupted,77
AI Risk Mitigation/Deep Ignorance Filtering Pretraining Data Builds Tamper-Resistant Safeguards.md,https://huggingface.co/EleutherAI/deep-ignorance-e2e-strong-filter-strong-knowledge-corrupted,77
AI Risk Mitigation/Enhancing Model Safety through Pretraining Data Filtering.md,https://www.anthropic.com/rsp-updates,27
AI Risk Mitigation/Enhancing Model Safety through Pretraining Data Filtering.md,https://arxiv.org/abs/2410.08827,29
AI Risk Mitigation/Enhancing Model Safety through Pretraining Data Filtering.md,https://arxiv.org/abs/2409.18025,29
AI Risk Mitigation/Enhancing Model Safety through Pretraining Data Filtering.md,https://arxiv.org/abs/2501.18837,64
AI Risk Mitigation/Enhancing Model Safety through Pretraining Data Filtering.md,https://proceedings.mlr.press/v162/mindermann22a.html,66
AI Risk Mitigation/Enhancing Model Safety through Pretraining Data Filtering.md,https://arxiv.org/abs/1612.03651,69
AI Risk Mitigation/Enhancing Model Safety through Pretraining Data Filtering.md,https://arxiv.org/abs/2009.03300,76
AI Risk Mitigation/Enhancing Model Safety through Pretraining Data Filtering.md,https://arxiv.org/abs/2403.03218,76
AI Risk Mitigation/Enhancing Model Safety through Pretraining Data Filtering.md,https://arxiv.org/pdf/2305.10403,153
AI Risk Mitigation/Enhancing Model Safety through Pretraining Data Filtering.md,https://arxiv.org/abs/2302.08582,153
AI Risk Mitigation/Enhancing Model Safety through Pretraining Data Filtering.md,https://arxiv.org/abs/2402.09739,153
AI Risk Mitigation/Enhancing Model Safety through Pretraining Data Filtering.md,https://arxiv.org/abs/2409.16986,153
AI Risk Mitigation/Enhancing Model Safety through Pretraining Data Filtering.md,https://arxiv.org/abs/2406.06046,153
AI Risk Mitigation/Enhancing Model Safety through Pretraining Data Filtering.md,https://arxiv.org/abs/2409.05816,153
AI Risk Mitigation/Enhancing Model Safety through Pretraining Data Filtering.md,https://arxiv.org/abs/2508.06601,153
AI Risk Mitigation/Enhancing Model Safety through Pretraining Data Filtering.md,https://openreview.net/forum?id=zAxuIJLb38,155
AI Risk Mitigation/Enhancing Model Safety through Pretraining Data Filtering.md,https://arxiv.org/abs/2310.10683,155
AI Risk Mitigation/Enhancing Model Safety through Pretraining Data Filtering.md,https://arxiv.org/abs/2004.00345,155
AI Risk Mitigation/Enhancing Model Safety through Pretraining Data Filtering.md,https://arxiv.org/abs/2012.00363,155
AI Risk Mitigation/Enhancing Model Safety through Pretraining Data Filtering.md,https://aclanthology.org/2023.findings-acl.375/,155
AI Risk Mitigation/Enhancing Model Safety through Pretraining Data Filtering.md,https://arxiv.org/abs/2402.16835,155
AI Risk Mitigation/Enhancing Model Safety through Pretraining Data Filtering.md,https://arxiv.org/abs/2309.00667,163
AI Risk Mitigation/Enhancing Model Safety through Pretraining Data Filtering.md,https://proceedings.mlr.press/v70/koh17a/koh17a.pdf,165
AI Risk Mitigation/Enhancing Model Safety through Pretraining Data Filtering.md,https://arxiv.org/abs/2308.03296,165
AI Risk Mitigation/A simple technical explanation of RLH(AI)F.md,https://www.youtube.com/watch?v=wjZofJX0v4M&t=727s,38
AI Risk Mitigation/A simple technical explanation of RLH(AI)F.md,https://www.youtube.com/watch?v=aircAruvnKk,54
AI Risk Mitigation/A simple technical explanation of RLH(AI)F.md,https://openai.com/index/instruction-following/,78
AI Risk Mitigation/A simple technical explanation of RLH(AI)F.md,https://arxiv.org/pdf/2204.05862#page=10,86
AI Risk Mitigation/A simple technical explanation of RLH(AI)F.md,https://en.wikipedia.org/wiki/Elo_rating_system#Theory,92
AI Risk Mitigation/A simple technical explanation of RLH(AI)F.md,https://huggingface.co/datasets/Anthropic/hh-rlhf?row=1,106
AI Risk Mitigation/A simple technical explanation of RLH(AI)F.md,https://www.youtube.com/watch?v=Ilg3gGewQ5U,129
AI Risk Mitigation/A simple technical explanation of RLH(AI)F.md,https://arxiv.org/abs/2106.09685,165
AI Risk Mitigation/A simple technical explanation of RLH(AI)F.md,https://www.nytimes.com/2023/02/16/technology/bing-chatbot-transcript.html,288
AI Risk Mitigation/A simple technical explanation of RLH(AI)F.md,https://arxiv.org/html/2310.06474v3,289
AI Risk Mitigation/A simple technical explanation of RLH(AI)F.md,https://www.youtube.com/watch?v=wjZofJX0v4M&t=1342s,317
AI Safety/AI Could Defeat All Of Us Combined.md,https://www.cold-takes.com/most-important-century/,25
AI Safety/AI Could Defeat All Of Us Combined.md,https://www.cold-takes.com/making-the-best-of-the-most-important-century/,27
AI Safety/AI Could Defeat All Of Us Combined.md,https://www.cold-takes.com/transformative-ai-timelines-part-1-of-4-what-kind-of-ai/#misaligned-ai-mysterious-potentially-dangerous-objectives,29
AI Safety/AI Could Defeat All Of Us Combined.md,https://www.cold-takes.com/all-possible-views-about-humanitys-future-are-wild/,31
AI Safety/AI Could Defeat All Of Us Combined.md,https://www.cold-takes.com/transformative-ai-timelines-part-1-of-4-what-kind-of-ai/,33
AI Safety/AI Could Defeat All Of Us Combined.md,https://www.givewell.org/,40
AI Safety/AI Could Defeat All Of Us Combined.md,https://waitbutwhy.com/2015/01/artificial-intelligence-revolution-2.html,72
AI Safety/AI Could Defeat All Of Us Combined.md,https://www.cold-takes.com/p/4a610336-be1d-42fc-b76f-c33e34598340/#some-quick-responses-to-objections,74
AI Safety/AI Could Defeat All Of Us Combined.md,https://www.lesswrong.com/posts/KrJfoZzpSDpnrv9va/draft-report-on-ai-timelines,82
AI Safety/AI Could Defeat All Of Us Combined.md,https://en.wikipedia.org/wiki/United_States_Armed_Forces,87
AI Safety/AI Could Defeat All Of Us Combined.md,https://www.cold-takes.com/transformative-ai-timelines-part-1-of-4-what-kind-of-ai/#explosive-scientific-and-technological-advancement,90
AI Safety/AI Could Defeat All Of Us Combined.md,https://www.cold-takes.com/p/4a610336-be1d-42fc-b76f-c33e34598340/#appendix-how-ais-could-avoid-shutdown,97
AI Safety/AI Could Defeat All Of Us Combined.md,https://www.cold-takes.com/p/4a610336-be1d-42fc-b76f-c33e34598340/#what-if-humans-move-slowly-and-dont-create-many-ais,100
AI Safety/AI Could Defeat All Of Us Combined.md,https://www.cold-takes.com/p/4a610336-be1d-42fc-b76f-c33e34598340/#discuss,111
AI Safety/AI Could Defeat All Of Us Combined.md,https://theprecipice.com/,135
AI Safety/AI Could Defeat All Of Us Combined.md,https://forum.effectivealtruism.org/posts/ajBYeiggAzu6Cgb3o/biological-anchors-is-about-bounding-not-pinpointing-ai?commentId=nEeuknn4unKTWEd6i,144
AI Safety/AI Could Defeat All Of Us Combined.md,https://www.lesswrong.com/posts/HBxe6wdjxK239zajf/what-failure-looks-like,167
AI Safety/AI Could Defeat All Of Us Combined.md,https://www.cold-takes.com/biological-anchors-is-about-bounding-not-pinpointing-ai-timelines/,212
AI Safety/AI Could Defeat All Of Us Combined.md,https://en.wikipedia.org/wiki/Intel,219
AI Safety/AI Could Defeat All Of Us Combined.md,https://en.wikipedia.org/wiki/Google,219
AI Safety/AI Could Defeat All Of Us Combined.md,https://ourworldindata.org/world-population-growth,221
AI Safety/AI Could Defeat All Of Us Combined.md,https://forum.effectivealtruism.org/posts/ajBYeiggAzu6Cgb3o/biological-anchors-is-about-bounding-not-pinpointing-ai?commentId=59wqZk8wcKdEWQG3J,231
AI Safety/Statement on Superintelligence.md,https://safe.ai/work/statement-on-ai-risk,25
AI Safety/Statement on Superintelligence.md,https://futureoflife.org/asi-polling,45
AI Safety/What failure looks like — AI Alignment Forum.md,https://www.alignmentforum.org/w/daemons,29
AI Safety/What failure looks like — AI Alignment Forum.md,https://ai-alignment.com/clarifying-ai-alignment-cec47cd69dd6,31
"AI Safety/When AI Thinks It Will Lose, It Sometimes Cheats.md",https://time.com/4252312/googles-artificial-intelligence-beats-legendary-go-player/,22
"AI Safety/When AI Thinks It Will Lose, It Sometimes Cheats.md",https://time.com/7210296/chinese-ai-company-deepseek-stuns-american-ai-industry/,22
"AI Safety/When AI Thinks It Will Lose, It Sometimes Cheats.md",https://time.com/7203729/ai-evaluations-safety/,24
"AI Safety/When AI Thinks It Will Lose, It Sometimes Cheats.md",https://openai.com/index/introducing-operator/,26
"AI Safety/When AI Thinks It Will Lose, It Sometimes Cheats.md",https://time.com/7202784/ai-research-strategic-lying/,42
"AI Safety/When AI Thinks It Will Lose, It Sometimes Cheats.md",https://openai.com/index/deliberative-alignment/,44
"AI Safety/When AI Thinks It Will Lose, It Sometimes Cheats.md",https://openai.com/index/openai-o1-system-card/,44
"AI Safety/When AI Thinks It Will Lose, It Sometimes Cheats.md",https://time.com/7012890/yoshua-bengio-2/,46
"AI Safety/When AI Thinks It Will Lose, It Sometimes Cheats.md",https://www.gov.uk/government/publications/international-ai-safety-report-2025,46
"AI Safety/When AI Thinks It Will Lose, It Sometimes Cheats.md",https://time.com/7202312/new-tests-reveal-ai-capacity-for-deception/,48
"AI Safety/When AI Thinks It Will Lose, It Sometimes Cheats.md",https://time.com/7221384/ai-regulation-takes-backseat-paris-summit/,50
"AI Safety/When AI Thinks It Will Lose, It Sometimes Cheats.md",https://time.com/7205596/sam-altman-superintelligence-agi/,50
AI Safety/My recent lecture at Berkeley and a vision for a “CERN for AI”.md,https://inst.eecs.berkeley.edu/~cs188/fa24/,27
AI Safety/My recent lecture at Berkeley and a vision for a “CERN for AI”.md,https://www.youtube.com/watch?v=JavGesatkeA,29
AI Safety/My recent lecture at Berkeley and a vision for a “CERN for AI”.md,https://inst.eecs.berkeley.edu/~cs188/fa24/assets/lectures/cs188-fa24-lec25.pdf,29
AI Safety/My recent lecture at Berkeley and a vision for a “CERN for AI”.md,https://milesbrundage.substack.com/p/the-bread-and-butter-problem-in-ai,43
