document,url,line,matched_document
AI Alignment/Agentic Misalignment How LLMs could be insider threats.md,https://www.anthropic.com/research/alignment-faking,373,AI Alignment/Alignment faking in large language models.md
AI Alignment/Alignment faking in large language models.md,https://www.anthropic.com/research/alignment-faking?utm_source=bluedot-impact,3,AI Alignment/Alignment faking in large language models.md
AI Alignment/Recent Frontier Models Are Reward Hacking.md,https://metr.org/blog/2025-06-05-recent-reward-hacking/?utm_source=bluedot-impact,3,AI Alignment/Recent Frontier Models Are Reward Hacking.md
AI Alignment/What is AI alignment?.md,https://blog.bluedot.org/p/what-is-ai-alignment?utm_source=bluedot-impact,3,AI Alignment/What is AI alignment?.md
AI Alignment/What is AI alignment?.md,https://www.cold-takes.com/why-would-ai-aim-to-defeat-humanity,150,"AI Safety/Why Would AI ""Aim"" To Defeat Humanity?.md"
AI Alignment/Chain-of-Thought Snippets.md,https://www.antischeming.ai/snippets?utm_source=bluedot-impact,3,AI Alignment/Chain-of-Thought Snippets.md
AI Alignment/Chain-of-Thought Snippets.md,https://openai.com/index/detecting-and-reducing-scheming-in-ai-models,37,Model-level Mitigation/Detecting and reducing scheming in AI models.md
AI Alignment/Self-preservation or Instruction Ambiguity? Examining the Causes of Shutdown Resistance — AI Alignment Forum.md,https://www.alignmentforum.org/posts/wnzkjSmrgWZaBa2aC/self-preservation-or-instruction-ambiguity-examining-the?utm_source=bluedot-impact,4,AI Alignment/Self-preservation or Instruction Ambiguity? Examining the Causes of Shutdown Resistance — AI Alignment Forum.md
AI Alignment/Self-preservation or Instruction Ambiguity? Examining the Causes of Shutdown Resistance — AI Alignment Forum.md,https://www.alignmentforum.org/posts/wnzkjSmrgWZaBa2aC/self-preservation-or-instruction-ambiguity-examining-the#Comparing_our_results_with_Palisade_s_follow_up_findings,30,AI Alignment/Self-preservation or Instruction Ambiguity? Examining the Causes of Shutdown Resistance — AI Alignment Forum.md
AI Alignment/Self-preservation or Instruction Ambiguity? Examining the Causes of Shutdown Resistance — AI Alignment Forum.md,https://www.alignmentforum.org/posts/wnzkjSmrgWZaBa2aC/self-preservation-or-instruction-ambiguity-examining-the#Experiment_details,46,AI Alignment/Self-preservation or Instruction Ambiguity? Examining the Causes of Shutdown Resistance — AI Alignment Forum.md
AI Alignment/Self-preservation or Instruction Ambiguity? Examining the Causes of Shutdown Resistance — AI Alignment Forum.md,https://www.alignmentforum.org/posts/wnzkjSmrgWZaBa2aC/self-preservation-or-instruction-ambiguity-examining-the#Experiment_Details,75,AI Alignment/Self-preservation or Instruction Ambiguity? Examining the Causes of Shutdown Resistance — AI Alignment Forum.md
AI Alignment/When AI Chooses Harm Over Failure.md,https://civai.org/p/agentic-misalignment?utm_source=bluedot-impact,3,AI Alignment/When AI Chooses Harm Over Failure.md
AI Alignment/When AI Chooses Harm Over Failure.md,https://www.anthropic.com/research/agentic-misalignment,28,AI Alignment/Agentic Misalignment How LLMs could be insider threats.md
"AI Alignment/""Carefully Bootstrapped Alignment"" is organizationally hard.md",https://www.lesswrong.com/posts/thkAtqoQwN6DtaiGT/carefully-bootstrapped-alignment-is-organizationally-hard,3,"AI Alignment/""Carefully Bootstrapped Alignment"" is organizationally hard.md"
Evaluation/Do the biorisk evaluations of AI labs actually measure the risk of developing bioweapons?.md,https://epoch.ai/gradient-updates/do-the-biorisk-evaluations-of-ai-labs-actually-measure-the-risk-of-developing-bioweapons?utm_source=bluedot-impact,4,Evaluation/Do the biorisk evaluations of AI labs actually measure the risk of developing bioweapons?.md
Evaluation/We Need A ‘Science of Evals’.md,https://www.apolloresearch.ai/science/we-need-a-science-of-evals/?utm_source=bluedot-impact,3,Evaluation/We Need A ‘Science of Evals’.md
Evaluation/‘3cb’ The Catastrophic Cyber Capabilities Benchmark.md,https://apartresearch.com/news/3cb-the-catastrophic-cyber-capabilities-benchmark?utm_source=bluedot-impact,3,Evaluation/‘3cb’ The Catastrophic Cyber Capabilities Benchmark.md
Evaluation/Toward Comprehensive Benchmarking of the Biological Knowledge of Frontier Large Language Models.md,https://www.rand.org/pubs/research_reports/RRA3797-1.html?utm_source=bluedot-impact,4,Evaluation/Toward Comprehensive Benchmarking of the Biological Knowledge of Frontier Large Language Models.md
Lab Scorecards/Scheming risk prevention.md,https://ailabwatch.org/categories/scheming,3,Lab Scorecards/Scheming risk prevention.md
Lab Scorecards/Planning.md,https://ailabwatch.org/categories/planning,3,Lab Scorecards/Planning.md
Lab Scorecards/Prep for extreme security.md,https://ailabwatch.org/categories/security,3,Lab Scorecards/Prep for extreme security.md
Lab Scorecards/Misuse prevention.md,https://ailabwatch.org/categories/misuse,3,Lab Scorecards/Misuse prevention.md
Lab Scorecards/Risk assessment.md,https://ailabwatch.org/categories/risk-assessment,3,Lab Scorecards/Risk assessment.md
Lab Scorecards/Risk info sharing.md,https://ailabwatch.org/categories/information-sharing,3,Lab Scorecards/Risk info sharing.md
Lab Scorecards/Boosting safety research.md,https://ailabwatch.org/categories/safety-research,3,Lab Scorecards/Boosting safety research.md
RSP/AI models can be dangerous before public deployment.md,https://metr.org/blog/2025-01-17-ai-models-dangerous-before-public-deployment/?utm_source=bluedot-impact,3,RSP/AI models can be dangerous before public deployment.md
RSP/Responsible Scaling Policies (RSPs).md,https://metr.org/blog/2023-09-26-rsp/?utm_source=bluedot-impact,3,RSP/Responsible Scaling Policies (RSPs).md
RSP/Responsible Scaling Policy Version 3.0.md,https://www.anthropic.com/news/responsible-scaling-policy-v3?utm_source=bluedot-impact,3,RSP/Responsible Scaling Policy Version 3.0.md
RSP/PurpleLlamaLlama-Guard412BMODEL_CARD.md at main.md,https://github.com/meta-llama/PurpleLlama/blob/main/Llama-Guard4/12B/MODEL_CARD.md?utm_source=bluedot-impact,3,RSP/PurpleLlamaLlama-Guard412BMODEL_CARD.md at main.md
RSP/The Long-Term Benefit Trust.md,https://www.anthropic.com/news/the-long-term-benefit-trust?utm_source=bluedot-impact,3,RSP/The Long-Term Benefit Trust.md
AI Safety Risk/An Approach to Technical AGI Safety and Security.md,https://deepmindsafetyresearch.medium.com/an-approach-to-technical-agi-safety-and-security-25928819fbc6,3,AI Safety Risk/An Approach to Technical AGI Safety and Security.md
